qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14
201,raspberry pi ,0.0975,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,uss carl vinson ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,reviews of les miserables ,0.0458,2,glove.topn3,0.0649,reviews les miserables deux trois misérables les ,termluster.topn5.3.bm25,0.0462,reviews les miserables miser review ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,rules of golf ,0.0645,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,average charitable donation ,0.0564,1,rm3.topn10.10.0.5.bm25,0.1009,charit afp consum donat expect ag studi holidai philanthropi averag percent ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,wind power ,0.0409,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,bph treatment ,0.0486,2,adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0671,"{'treatment': 2, 'prostat': 2.0, 'bph': 2, 'urin': 1.834, 'bladder': 1.436, 'urethra': 1.392, 'gland': 1.304, 'caus': 1.304, 'diseas': 1.215, 'transurethr': 1.155, 'clearinghous': 1.094, 'surgeri': 1.011} ",bertqe.topn10.bm25,0.0543,"{'bph treatment': 1.5, 'bph treatment  removes large': 1.0, 'nonsurgical  officebased treatment bph': 0.9333333333333333, 'bph  treatments include radio frequency': 0.6666666666666667, 'prostate treatment  nonsurgical bph treatment': 0.6, 'treatment bph using': 0.5333333333333334} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,doctor zhivago ,0.0421,14,relevancefeedback.topn10.bm25,0.0867,doctor zhivago   movi bui fiction ,onfields.topn3.10.4.0.bm25,0.0812,"{'doctor': 2, 'zhivago': 2, 'var': 1.275, 'pasternak': 1.22, 'bori': 1.165, 'bitlib': 1.121, 'releas': 1.121, 'googleadheight': 1.033, 'googleadslot': 1.033, 'googleadwidth': 1.033, 'capub0027400747872205': 1.033} ",wordnet.topn3,0.0789,doctor zhivago physician bushel ,glove.topn3,0.0742,doctor zhivago physician dillamond pawf ,thesaurus.topn3,0.07200000000000001,doctor zhivago  expert physician  ,sensedisambiguation.replace,0.0575,doctor of the church zhivago ,wiki.topn3,0.0565,doctor zhivago films about soviet repression sayonara thmark       film  Doctor Zhivago  film  ,sensedisambiguation,0.0562,doctor doctor of the church zhivago ,wordnet.topn3.replace,0.0542,Doctor of the Church doctor up repair zhivago ,word2vec.topn3,0.0531,doctor zhivago physician surgeon ,word2vec.topn3.replace,0.0519,physician surgeon zhivago ,thesaurus.topn3.replace,0.0505, expert physician zhivago ,rm3.topn10.10.0.5.bm25,0.0504,pasternak channel ago movi clip zhivago bori doctor film runtim ,wiki.topn3.replace,0.0488,films about soviet repression sayonara thmark       film  Doctor Zhivago  film  
209,land surveyor ,0.0154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,golf gps ,0.0111,2,relevancefeedback.topn10.bm25,0.0136,golf gps gp ,docluster.topn10.3.bm25,0.0136,golf gps gp ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,what is madagascar known for ,0.0748,5,tagmee.topn3,0.1078,madagascar known Madagascar ,conceptluster.topn5.3.bm25,0.1078,madagascar known madagascar ,termluster.topn5.3.bm25,0.106,madagascar known world island ,wiki.topn3,0.0813,madagascar known islands of madagascar madagascar southern africa Madagascar ,bertqe.topn10.bm25,0.0762,"{'what is madagascar known for': 1.5, 'madagascar renowned': 1.0, 'known marine reserves  p ': 0.9835176751247019, 'madagascar  a  one tourist attractions': 0.5859900238559965, 'best known': 0.32032097158967693, 'madagascar ranks one': 0.2897419214920842} ",,,,,,,,,,,,,,,,,,,,,,,,,,,
212,home theater systems ,0.0004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,carpal tunnel syndrome ,0.0376,1,adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0649,"{'syndrom': 2, 'tunnel': 2, 'carpal': 2, 'wrist': 1.321, 'nerv': 1.274, 'symptom': 1.226, 'disord': 1.21, 'caus': 1.167, 'median': 1.155, 'ligament': 1.095, 'releas': 1.071} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,capital gains tax rate ,0.1472,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,maryland department of natural resources ,0.0969,1,termluster.topn5.3.bm25,0.1186,maryland department natural resources depart natur resourc state resourc natur state resourc maryland state natur maryland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,nicolas cage movies ,0.0839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,kids earth day activities ,0.0973,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,solar water fountains ,0.0402,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
