qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
3990512,how can we get concentration onsomething,0.0201,15,thesaurus.topn3,0.2854,get concentration onsomething,anchor.topn3,0.2854,get concentration onsomething,wiki.topn3,0.2854,get concentration onsomething,tagmee.topn3,0.2854,get concentration onsomething,thesaurus.topn3.replace,0.2854,get concentration onsomething,anchor.topn3.replace,0.2854,get concentration onsomething,termluster.topn5.3.bm25,0.2854,get concentration onsomething,conceptluster.topn5.3.bm25,0.2854,get concentration onsomething,bertqe.topn10.bm25,0.1698,"{'how can we get concentration onsomething': 1.5, 'concentrate ones': 1.0, 'get concentration': 0.5312592363644802, 'distracted  talking': 0.3588378216713923, 'see': 0.2124241149493099, 'concentration  also make sure re': 0.16187234571498446}",glove.topn3,0.1326,get concentration onsomething got furthermore,relevancefeedback.topn10.bm25,0.0908,how can we get concentration onsomething  carbon you concentr liquid know countri,word2vec.topn3,0.054000000000000006,get concentration onsomething obtain give go concetration,stem.lovins,0.0282,how can we ges concentr onsometh,conceptnet.topn3,0.0253,get concentration onsomething receive Study committing to memory,wordnet.topn3,0.0221,get concentration onsomething contract fix develop denseness assiduity,,,,,,,,,
714612,Why doesn t the water fall off  earth if it s round,0.22399999999999998,5,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.3269,"{'round': 2, 'it': 2, 'if': 2, 'off': 2, 'fall': 2, 'the': 2, 'doesnt': 2, 'whi': 2, 'earth': 2, 'water': 2, 'sound': 1.571, 'larg': 1.429, 'object': 1.429, 'content': 1.429, 'id': 1.429, 'that': 1.286, '7146120': 1.143, '27819420': 1.143, '10659214': 1.143}",tagmee.topn3,0.27699999999999997,n t water fall earth  s round Earth,conceptluster.topn5.3.bm25,0.27699999999999997,n t water fall earth  s round earth,wordnet.topn3,0.2646,n t water fall earth  s round body of water piss urine surrender crepuscule worldly concern land round off rhythm unit of ammunition,onfields.topn3.10.2.25.1.bm25,0.2308,"{'round': 2, 'it': 2, 'if': 2, 'off': 2, 'fall': 2, 'water': 2, 'the': 2, 'doesnt': 2, 'whi': 2, 'earth': 2, 'larg': 2.0, 'faith': 2.0, 'object': 2.0, 'content': 2.0, 'id': 2.0, 'criticis': 1.333, 'critis': 1.333, '7146120': 1.333, '352614915': 1.333, '27819420': 1.333}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528767,How do I determine the charge of the iron ion in FeCl,0.3887,5,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.5696,"{'in': 2, 'ion': 2, 'of': 2, 'the': 2, 'determin': 2, 'i': 2, 'do': 2, 'how': 2, '2': 2.0, 'fecl3': 2, 'charg': 2, 'iron': 2, 'id': 1.727, 'posit': 1.273, 'content': 1.273, 'oxid': 1.182, 'chlorin': 1.182, '21678061': 1.091, '25287674': 1.091}",stem.paicehusk,0.4573,how do i determin the charg of the iron ion in fec,onfields.topn3.10.2.25.1.bm25,0.4481,"{'fecl3': 2, 'in': 2, 'ion': 2, 'of': 2, 'the': 2, 'determin': 2, 'i': 2, 'do': 2, 'how': 2, 'id': 2.0, 'charg': 2, 'iron': 2, 'oxid': 1.375, 'content': 1.375, 'precipit': 1.375, 'ph': 1.25, 'subscript': 1.25, 'crisscross': 1.25, 'fecl': 1.25, 'cl1': 1.125}",conceptluster.topn5.3.bm25,0.3998,determine charge iron ion fecl  ion iron iii chloride iron,tagmee.topn3,0.3959,determine charge iron ion fecl  Ion Iron Ion Iron III  chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821387,I have mice How do I get rid of them humanely,0.1287,13,thesaurus.topn3,0.2625,mice how get rid humanely,anchor.topn3,0.2625,mice how get rid humanely,wiki.topn3,0.2625,mice how get rid humanely,tagmee.topn3,0.2625,mice how get rid humanely,thesaurus.topn3.replace,0.2625,mice how get rid humanely,anchor.topn3.replace,0.2625,mice how get rid humanely,termluster.topn5.3.bm25,0.2625,mice how get rid humanely,conceptluster.topn5.3.bm25,0.2625,mice how get rid humanely,conceptnet.topn3,0.2554,mice how get rid humanely receive,conceptnet.topn3.replace,0.2208,mice how receive rid humanely,wordnet.topn3,0.161,mice how get rid humanely contract fix develop free disembarrass,glove.topn3,0.1597,mice how get rid humanely got eliminate unfortunately treated cruelly,onfields.topn3.10.2.25.1.bm25,0.1583,"{'human': 2, 'them': 2, 'of': 2, 'rid': 2, 'get': 2, 'do': 2, 'micehow': 2, 'have': 2, 'i': 2, 'trap': 2.0, 'mice': 1.9, 'id': 1.6, 'anim': 1.6, 'mous': 1.5, 'pet': 1.4, 'wild': 1.3, 'glue': 1.3, 'caus': 1.3, 'hous': 1.3, 'choos': 1.2}",,,,,,,,,,,,,,,
1880028,What does  see Leaflet  mean on Ept Pregnancy test,0.63,6,thesaurus.topn3,0.6407,   see leaflet    mean ept pregnancy test,anchor.topn3,0.6407,   see leaflet    mean ept pregnancy test,thesaurus.topn3.replace,0.6407,see leaflet mean ept pregnancy test,anchor.topn3.replace,0.6407,   see leaflet    mean ept pregnancy test,termluster.topn5.3.bm25,0.6407,   see leaflet    mean ept pregnancy test,stem.krovetz,0.6323,what do see leaflet mean on ept pregnancy test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4448097,what is innate immunity,0.5097,6,thesaurus.topn3,0.6732,innate immunity,anchor.topn3,0.6732,innate immunity,thesaurus.topn3.replace,0.6732,innate immunity,anchor.topn3.replace,0.6732,innate immunity,termluster.topn5.3.bm25,0.6732,innate immunity,conceptnet.topn3,0.53,innate immunity inborn immunogenicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287437,how can i lose    pounds by june,0.1388,13,thesaurus.topn3,0.2006,lose    pounds june,anchor.topn3,0.2006,lose    pounds june,thesaurus.topn3.replace,0.2006,lose pounds june,anchor.topn3.replace,0.2006,lose    pounds june,termluster.topn5.3.bm25,0.2006,lose    pounds june,conceptnet.topn3,0.1998,lose    pounds june  weight plural of pound,tagmee.topn3,0.1807,lose    pounds june  Canadian dollar Pound  mass,conceptluster.topn5.3.bm25,0.1807,lose    pounds june  pound mass canadian dollar,sensedisambiguation,0.1774,how can i lose suffer    thirty pounds syrian pound by june,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.17300000000000001,"{'june3': 2, 'by': 2, 'i': 2, 'can': 2, 'how': 2, '30': 2, 'weight': 2.0, 'lose': 2, 'pound': 2, 'id': 1.636, 'gain': 1.636, 'carb': 1.273, 'caus': 1.273, 'atkin': 1.182, '260': 1.182, 'excercis': 1.182}",onfields.topn3.10.2.25.1.bm25,0.159,"{'june3': 2, 'by': 2, '30': 2, 'i': 2, 'can': 2, 'how': 2, 'pound': 2, 'lose': 2, 'weight': 2.0, 'go': 1.636, 'gain': 1.636, 'week': 1.364, 'year': 1.318, 'gram': 1.182, 'stat': 1.182, '260': 1.182, 'impuls': 1.091}",conceptnet.topn3.replace,0.1412,lose    weight plural of pound june,docluster.topn10.3.bm25,0.1389,how can i lose    pounds by june   you,,,,,,,,,,,,,,,
2956570,What are the words to write the sound of raindrops  moving train   scribbling w  pencil on paper figuratively,0.5018,6,thesaurus.topn3,0.5455,words write sound raindrops moving train   scribbling w  pencil paper figuratively,anchor.topn3,0.5455,words write sound raindrops moving train   scribbling w  pencil paper figuratively,thesaurus.topn3.replace,0.5455,words write sound raindrops moving train scribbling w  pencil paper figuratively,anchor.topn3.replace,0.5455,words write sound raindrops moving train   scribbling w  pencil paper figuratively,termluster.topn5.3.bm25,0.5455,words write sound raindrops moving train   scribbling w  pencil paper figuratively,sensedisambiguation.replace,0.5043,What are the word to write the strait of raindrop   travel train   scribble w  pencil on paper figuratively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351675,Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton,0.1954,10,tagmee.topn3,0.3807,must uncracked winshield order car pass safety inspeciton Forward pass Safety  gridiron football position,conceptluster.topn5.3.bm25,0.3807,must uncracked winshield order car pass safety inspeciton forward pass safety gridiron football position,thesaurus.topn3,0.3682,must uncracked winshield order car pass safety inspeciton,anchor.topn3,0.3682,must uncracked winshield order car pass safety inspeciton,thesaurus.topn3.replace,0.3682,must uncracked winshield order car pass safety inspeciton,anchor.topn3.replace,0.3682,must uncracked winshield order car pass safety inspeciton,termluster.topn5.3.bm25,0.3682,must uncracked winshield order car pass safety inspeciton,relevancefeedback.topn10.bm25,0.2905,why must i have an uncracked winshield in order to for my car to pass a safety inspeciton   or  safeti you can dirt trust,stem.porter2,0.2618,whi must i have an uncrack winshield in order to for my car to pass a safeti inspeciton,sensedisambiguation.replace,0.2472,Why mustiness I have an uncracked winshield in order to for my car to pass a safety inspeciton,,,,,,,,,,,,,,,,,,,,,,,,
1783010,What is Blaphsemy,0.0556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799913,What s the proper way to express sorrow at a funeral,0.4533,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142044,What do you speculate happened to Natalie Holloway in Aruba,0.5112,8,tagmee.topn3,0.6616,speculate happened natalie holloway aruba Beth Holloway Aruba,thesaurus.topn3,0.6455,speculate happened natalie holloway aruba,anchor.topn3,0.6455,speculate happened natalie holloway aruba,thesaurus.topn3.replace,0.6455,speculate happened natalie holloway aruba,anchor.topn3.replace,0.6455,speculate happened natalie holloway aruba,termluster.topn5.3.bm25,0.6455,speculate happened natalie holloway aruba,relevancefeedback.topn10.bm25,0.5896,what do you speculate happened to natalie holloway in aruba  entertain ha i becom chino aruba peopl,conceptluster.topn5.3.bm25,0.5685,speculate happened natalie holloway aruba beth holloway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707303,How do people get hiccups  what are they  and what exactly is the best way to cure them,0.2473,14,thesaurus.topn3,0.6923,people get hiccups exactly best way cure,anchor.topn3,0.6923,people get hiccups exactly best way cure,wiki.topn3,0.6923,people get hiccups exactly best way cure,tagmee.topn3,0.6923,people get hiccups exactly best way cure,thesaurus.topn3.replace,0.6923,people get hiccups exactly best way cure,anchor.topn3.replace,0.6923,people get hiccups exactly best way cure,termluster.topn5.3.bm25,0.6923,people get hiccups exactly best way cure,conceptluster.topn5.3.bm25,0.6923,people get hiccups exactly best way cure,sensedisambiguation,0.4829,How do people get suffer hiccups hiccup   what are they   and what exactly precisely is the best better way means to cure them,relevancefeedback.topn10.bm25,0.4252,how do people get hiccups  what are they  and what exactly is the best way to cure them  hiccup all butter you about air,onfields.topn3.10.2.25.1.bm25,0.385,"{'them': 2, 'to': 2, 'way': 2, 'best': 2, 'the': 2, 'is': 2, 'exactli': 2, 'and': 2, 'they': 2, 'are': 2, 'what': 2, 'get': 2, 'peopl': 2, 'do': 2, 'how': 2, 'cure': 2, 'hiccup': 2, 'breath': 1.409, 'diaphragm': 1.318, 'method': 1.227, 'spasm': 1.227, 'swallow': 1.182, 'drown': 1.182, 'caus': 1.182, 'hughesgreen': 1.136, 'guarante': 1.091}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.385,"{'them': 2, 'to': 2, 'way': 2, 'best': 2, 'the': 2, 'is': 2, 'exactli': 2, 'and': 2, 'they': 2, 'are': 2, 'what': 2, 'get': 2, 'peopl': 2, 'do': 2, 'how': 2, 'cure': 2, 'hiccup': 2, 'breath': 1.409, 'diaphragm': 1.318, 'method': 1.227, 'spasm': 1.227, 'swallow': 1.182, 'drown': 1.182, 'caus': 1.182, 'hughesgreen': 1.136, 'guarante': 1.091}",rm3.topn10.10.0.5.bm25,0.3139,butter how about best diaphragm wai get them hiccup what peopl cure work do exactli breath,word2vec.topn3,0.3068,people get hiccups exactly best way cure poeple peole persons obtain give go glitches hiccoughs precisely exact worst finest easiest manner way,,,,,,,,,,,,
676028,Why do our elected federal senators and congressmen not have to live on regular S S  like the rest of us,0.2324,11,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.3522,"{'us': 2, 'of': 2, 'rest': 2, 'the': 2, 'like': 2, 'ss': 2, 'regular': 2, 'on': 2, 'live': 2, 'to': 2, 'have': 2, 'not': 2, 'and': 2, 'feder': 2, 'our': 2, 'do': 2, 'whi': 2, 'elect': 2, 'congressmen': 2, 'senat': 2, 'id': 1.714, 'vote': 1.571, 'content': 1.429, 'reelect': 1.429, 'repres': 1.429, 'fote': 1.143, 'democraci': 1.0, 'everi': 1.0}",word2vec.topn3,0.3098,elected federal senators congressmen live regular s s  like rest us appointed re elected reelected government state congressmen senators congressman reside normal frequent s l  Monocotyledoneae Tracheophyta lke liek want ourselves me us,stem.porter2,0.3016,whi do our elect feder senat and congressmen not have to live on regular s s like the rest of us,sensedisambiguation,0.2971,Why do our elected elect federal senators senator and congressmen congressman not have to live survive on regular unconstipated S S  like wish the rest of us uranium,thesaurus.topn3,0.2872,elected federal senators congressmen live regular s s  like rest us,anchor.topn3,0.2872,elected federal senators congressmen live regular s s  like rest us,thesaurus.topn3.replace,0.2872,elected federal senators congressmen live regular s s  like rest us,anchor.topn3.replace,0.2872,elected federal senators congressmen live regular s s  like rest us,termluster.topn5.3.bm25,0.2872,elected federal senators congressmen live regular s s  like rest us,onfields.topn3.10.2.25.1.bm25,0.2549,"{'us': 2, 'of': 2, 'rest': 2, 'the': 2, 'like': 2, 'ss': 2, 'regular': 2, 'on': 2, 'live': 2, 'to': 2, 'have': 2, 'not': 2, 'congressmen': 2, 'and': 2, 'feder': 2, 'elect': 2, 'our': 2, 'do': 2, 'whi': 2, 'vote': 2.0, 'israel': 2.0, 'senat': 2, 'congress': 1.833, 'russia': 1.833, 'reelect': 1.833, 'jew': 1.667, 'missil': 1.5, 'priemer': 1.333, 'repres': 1.333, 'everi': 1.0}",bertqe.topn10.bm25,0.2391,"{'Why do our elected federal senators and congressmen not have to live on regular SS like the rest of us': 1.5, ' congressmen reelected': 1.0, 'nt    believe ': 0.6357882103140637, 'senators fote': 0.16439443582865457, 'politicians votes ': 0.12501786970828793, '  need': 0.12400386509970013}",,,,,,,,,,,,,,,,,,,,,
2484180,why do people judge a dog by what he looks like,0.1174,9,thesaurus.topn3,0.3786,people judge dog looks like,anchor.topn3,0.3786,people judge dog looks like,thesaurus.topn3.replace,0.3786,people judge dog looks like,anchor.topn3.replace,0.3786,people judge dog looks like,termluster.topn5.3.bm25,0.3786,people judge dog looks like,sensedisambiguation,0.1634,why do people judge evaluate a dog pawl by what he looks look like,tagmee.topn3,0.1286,people judge dog looks like People Dog,conceptluster.topn5.3.bm25,0.1286,people judge dog looks like people dog,stem.porter2,0.1257,whi do peopl judg a dog by what he look like,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307305,Why do man rape little girls,0.3126,10,thesaurus.topn3,0.528,man rape little girls,anchor.topn3,0.528,man rape little girls,thesaurus.topn3.replace,0.528,man rape little girls,anchor.topn3.replace,0.528,man rape little girls,termluster.topn5.3.bm25,0.528,man rape little girls,tagmee.topn3,0.4383,man rape little girls Rape,conceptluster.topn5.3.bm25,0.4383,man rape little girls rape,stem.porter2,0.4316,whi do man rape littl girl,word2vec.topn3,0.3721,man rape little girls woman guy men rape  litte litle no boys,stem.trunc4,0.3331,why do man rape litt girl,,,,,,,,,,,,,,,,,,,,,,,,
2814599,what does the word remission mean when referring to cancer patients,0.4895,10,thesaurus.topn3,0.6279,word remission mean referring cancer patients,anchor.topn3,0.6279,word remission mean referring cancer patients,thesaurus.topn3.replace,0.6279,word remission mean referring cancer patients,anchor.topn3.replace,0.6279,word remission mean referring cancer patients,termluster.topn5.3.bm25,0.6279,word remission mean referring cancer patients,wordnet.topn3,0.5473,word remission mean referring cancer patients Word of God Son give and take subsidence remittance remission of sin beggarly mean value think of advert denote relate genus Cancer patient role affected role,tagmee.topn3,0.541,word remission mean referring cancer patients Cure Cancer Patient,conceptluster.topn5.3.bm25,0.541,word remission mean referring cancer patients cure patient cancer,stem.porter,0.5249,what doe the word remiss mean when referr to cancer patient,stem.krovetz,0.4896,what do the word remission mean when refer to cancer patient,,,,,,,,,,,,,,,,,,,,,,,,
3369088,how can we stop the spread of islam,0.33899999999999997,7,thesaurus.topn3,0.4732,stop spread islam,anchor.topn3,0.4732,stop spread islam,thesaurus.topn3.replace,0.4732,stop spread islam,anchor.topn3.replace,0.4732,stop spread islam,termluster.topn5.3.bm25,0.4732,stop spread islam,tagmee.topn3,0.4418,stop spread islam Spread of Islam Islam,conceptluster.topn5.3.bm25,0.4418,stop spread islam islam spread islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702151,How patient a driver are you,0.0973,8,thesaurus.topn3,0.1975,patient driver,anchor.topn3,0.1975,patient driver,wiki.topn3,0.1975,patient driver,tagmee.topn3,0.1975,patient driver,thesaurus.topn3.replace,0.1975,patient driver,anchor.topn3.replace,0.1975,patient driver,termluster.topn5.3.bm25,0.1975,patient driver,conceptluster.topn5.3.bm25,0.1975,patient driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851124,How is ego a part of our survival instincts,0.4304,5,thesaurus.topn3,0.5857,ego part survival instincts,anchor.topn3,0.5857,ego part survival instincts,thesaurus.topn3.replace,0.5857,ego part survival instincts,anchor.topn3.replace,0.5857,ego part survival instincts,termluster.topn5.3.bm25,0.5857,ego part survival instincts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3698636,why do cats headbutt,0.0572,10,thesaurus.topn3,0.1466,cats headbutt,anchor.topn3,0.1466,cats headbutt,thesaurus.topn3.replace,0.1466,cats headbutt,anchor.topn3.replace,0.1466,cats headbutt,termluster.topn5.3.bm25,0.1466,cats headbutt,tagmee.topn3,0.1393,cats headbutt Headbutt,conceptluster.topn5.3.bm25,0.1393,cats headbutt headbutt,wordnet.topn3,0.0941,cats headbutt khat upchuck guy,docluster.topn10.3.bm25,0.0659,why do cats headbutt  cat,stem.porter2,0.0634,whi do cat headbutt,,,,,,,,,,,,,,,,,,,,,,,,
1844896,How to cook Angus burgers,0.5066,6,thesaurus.topn3,0.5784,cook angus burgers,anchor.topn3,0.5784,cook angus burgers,thesaurus.topn3.replace,0.5784,cook angus burgers,anchor.topn3.replace,0.5784,cook angus burgers,termluster.topn5.3.bm25,0.5784,cook angus burgers,relevancefeedback.topn10.bm25,0.5274,how to cook angus burgers  you burger beef flame angu book about food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
