qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
1,obama family tree ,0.4449,3,anchor.topn3,0.5009,obama family tree barack   obama strichnocera mekubetzet tree stern   s diatomic sequ ssm a   ,tagmee.topn3,0.4586,obama family tree Family of Barack Obama ,conceptluster.topn5.3.bm25.rm3,0.4586,obama family tree family barack obama ,,,,,,,,,,,,,,,,,,,,,
2,french lick resort and casino ,0.2689,4,stem.lovins,0.2832,french lick resort and casin ,tagmee.topn3,0.2818,french lick resort casino French Lick  Indiana French Lick Resort Casino Casino ,conceptluster.topn5.3.bm25.rm3,0.2818,french lick resort casino french lick indiana casino french lick resort casino ,tagmee.topn3.replace,0.2768,French Lick  Indiana French Lick Resort Casino Casino ,,,,,,,,,,,,,,,,,,
3,getting organized ,0.0346,1,docluster.topn10.3.bm25.rm3,0.0377,getting organized organ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,toilet ,0.1059,1,relevancefeedback.topn10.bm25.rm3,0.2461,toilet step ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mitchell college ,0.0027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,kcs ,0.0024,1,sensedisambiguation,0.0041,kcs kilohertz ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,air travel information ,0.0106,5,sensedisambiguation.replace,0.0194,air travel travel information ,tagmee.topn3,0.0131,air travel information Airliner Information ,conceptluster.topn5.3.bm25.rm3,0.0131,air travel information information airliner ,tagmee.topn3.replace,0.0128,Airliner Information ,sensedisambiguation,0.0113,air air travel travel information ,,,,,,,,,,,,,,,
8,appraisals ,0.0019,7,relevancefeedback.topn10.bm25.rm3,0.0065,appraisals apprais ,docluster.topn10.3.bm25.rm3,0.0065,appraisals apprais ,stem.lovins,0.0035,apprais ,stem.porter,0.0035,apprais ,stem.porter2,0.0035,apprais ,conceptnet.topn3,0.0031,appraisals establish a worth ,wordnet.topn3,0.0021,appraisals estimation estimate ,,,,,,,,,
9,used car parts ,0.0477,2,relevancefeedback.topn10.bm25.rm3,0.0567,used car parts part ,docluster.topn10.3.bm25.rm3,0.0567,used car parts part ,,,,,,,,,,,,,,,,,,,,,,,,
10,cheap internet ,0.0,4,word2vec.topn3,0.104,cheap internet inexpensive low cost online intenet ,word2vec.topn3.replace,0.1008,inexpensive low cost online intenet ,glove.topn3,0.0001,cheap internet inexpensive cheaper web online ,glove.topn3.replace,0.0001,inexpensive cheaper web online ,,,,,,,,,,,,,,,,,,
11,gmat prep classes ,0.2208,1,word2vec.topn3,0.2274,gmat prep classes courses ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,djs ,0.0706,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,map ,0.0057,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,dinosaurs ,0.0162,1,glove.topn3,0.0496,dinosaurs reptiles ,,,,,,,,,,,,,,,,,,,,,,,,,,,
