qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
701,U S  oil industry history ,0.0211,2,tagmee.topn3,0.0278,u s  oil industry history Petroleum ,conceptluster.topn5.3.qld,0.0278,u s  oil industry history petroleum ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Pearl farming ,0.0608,6,onfields.topn3.10.4.0.25.qld,0.386,"{'farm': 2, 'pearl': 2, 'cultur': 1.561, 'japan': 1.457, 'oyster': 1.22, 'toba': 1.207, 'nec': 1.134, 'matsushima': 1.098, 'allsector': 1.073, 'oilse': 1.073, '2002naic': 1.037} ",thesaurus.topn3,0.1608,pearl farming  jewel nacre  agriculture breeding ,termluster.topn5.3.qld,0.1346,pearl farming product fish ,bertqe.topn10.qld,0.1202,"{'Pearl farming': 1.5, 'pearl farm established': 1.0, 'pearl farms  james peach ': 0.9636363636363637, 'farm pearl harvest  blockquote   td   td': 0.9636363636363637, 'pearl farms tennessee': 0.8545454545454545, 'aquaculture  cultured pearl production ': 0.8545454545454545} ",wiki.topn3,0.1058,pearl farming pearls jewellery components gemstone Pearl ,wiki.topn3.replace,0.0893,pearls jewellery components gemstone Pearl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,U S  against International Criminal Court ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Green party political views ,0.1778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Iraq foreign debt reduction ,0.2673,5,tagmee.topn3,0.4569,iraq foreign debt reduction Iraq External debt Debt ,tagmee.topn3.replace,0.3636,Iraq External debt Debt ,bertqe.topn10.qld,0.2851,"{'Iraq foreign debt reduction': 1.5, 'reducing iraq s debt': 1.0, 'substantial iraqi debt reduction  a   br  09': 1.0, 'debt reduction iraq': 0.9500000000000002, 'iraqi debt reduction  a   br  16 dec': 0.8500000000000001, 'iraq s foreign debt payments': 0.75} ",stem.lovins,0.2761,iraq foreign debt reduc ,stem.paicehusk,0.2761,iraq foreign debt reduc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Controlling type II diabetes ,0.1465,3,sensedisambiguation,0.1568,Controlling see type II two diabetes ,relevancefeedback.topn10.qld,0.1468,controlling type ii diabetes diabet ,docluster.topn10.3.qld,0.1468,controlling type ii diabetes diabet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Aspirin cancer prevention ,0.4181,3,tagmee.topn3.replace,0.4682,Aspirin Cancer Cancer prevention ,tagmee.topn3,0.4672,aspirin cancer prevention Aspirin Cancer Cancer prevention ,termluster.topn5.3.qld,0.4292,aspirin cancer prevention cancer colon effect aspirin colon effect year studi screen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Decorative slate sources ,0.2576,1,relevancefeedback.topn10.qld,0.2789,decorative slate sources stone roof ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Horse racing jockey weight ,0.7709,3,sensedisambiguation,0.804,Horse sawhorse racing rush jockey weight weight unit ,anchor.topn3,0.7865,horse racing jockey weight samaraa general virginia al diwaniya morabilla eroticid lungitz kheawcha oum sa nanwai jockey  weight maximum ccir     high molecular ,onfields.topn3.10.4.0.25.qld,0.7846,"{'weight': 2, 'jockey': 2, 'race': 2, 'hors': 2, 'msolevelnumberpositionleft': 1.25, 'steward': 1.203, 'textindent5in': 1.081, 'msoleveltabstop5in': 1.068, 'marginleft5in': 1.068, 'textindent75in': 1.053, 'textindent10in': 1.053, 'marginleft10in': 1.049} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Prostate cancer treatments ,0.4807,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
