qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21
301,International Organized Crime ,0.0282,6,glove.topn3,0.0441,international organized crime global which organised criminal ,wiki.topn3,0.0418,international organized crime constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,anchor.topn3,0.040999999999999995,international organized crime  confédérat föderat kanusport anti corruption  anti econom drug ,word2vec.topn3,0.0368,international organized crime national global domestic organised criminality ,wiki.topn3.replace,0.0364,constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,termluster.topn5.3.qld,0.0299,international organized crime special organ oper special oper investig affair also crimin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Poliomyelitis and Post Polio ,0.5585,4,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.6322,"{'post-polio': 2, 'and': 2, 'poliomyel': 2, 'polio': 2.0, 'postpolio': 1.474, 'health': 1.34, 'intern': 1.232, 'syndrom': 1.17, 'network': 1.119, 'user': 1.113, 'ventil': 1.113, 'medlineplu': 1.082, 'diseas': 1.077} ",relevancefeedback.topn10.qld,0.6051,poliomyelitis and post polio case polio i health hi vaccin percent ,bertqe.topn10.qld,0.5752,"{'Poliomyelitis and PostPolio': 1.5, 'postpolio syndrome  doctors': 1.0, 'postpolio syndrome  seitz  61 ': 0.27272946847903645, 'poliomyelitis diphtheria': 0.2706473835748468, 'poliomyelitis recorded': 0.23941343220410052, 'polio caused': 0.13198486700462034} ",wordnet.topn3,0.5665,poliomyelitis post polio acute anterior poliomyelitis polio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements ,0.1915,3,wiki.topn3,0.2933,hubble telescope achievements great observatories program hubble space telescope standard candles Hubble Space Telescope ,wiki.topn3.replace,0.2863,great observatories program hubble space telescope standard candles Hubble Space Telescope ,wordnet.topn3,0.1966,hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Endangered Species  Mammals ,0.1124,3,conceptluster.topn5.3.qld,0.1331,endangered species mammals endangered species ,stem.lovins,0.1183,endanger speci   mam ,stem.paicehusk,0.1183,endang specy   mam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Most Dangerous Vehicles ,0.0051,8,conceptluster.topn5.3.qld,0.0175,dangerous vehicles risk ,wordnet.topn3,0.0114,dangerous vehicles unsafe grievous severe fomite ,sensedisambiguation,0.01,Most Dangerous Vehicles vehicle ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.0094,"{'danger': 2, 'most': 2, 'vehicl': 2, 'fuel': 2.0, 'truck': 1.683, 'hydrogen': 1.411, 'gasolin': 1.293, 'collis': 1.245, 'crash': 1.208, 'unsaf': 1.19, 'methanol': 1.165, 'drive': 1.154, 'safeti': 1.0} ",wiki.topn3,0.0077,dangerous vehicles risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,wiki.topn3.replace,0.0073,risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,tagmee.topn3.replace,0.0066,Risk Vehicle ,tagmee.topn3,0.006,dangerous vehicles Risk Vehicle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,African Civilian Deaths ,0.1084,3,relevancefeedback.topn10.qld,0.1312,african civilian deaths januari death rwanda doe offici un he polic said modis ,docluster.topn10.3.qld,0.1288,african civilian deaths un rwanda said offici ,rm3.topn10.10.0.5.qld,0.1184,civilian januari un panamanian african death modis violenc februari rwanda ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,New Hydroelectric Projects ,0.3172,2,tagmee.topn3.replace,0.3225,Hydroelectricity Project ,tagmee.topn3,0.3199,new hydroelectric projects Hydroelectricity Project ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Implant Dentistry ,0.2839,11,conceptluster.topn5.3.qld,0.5031,implant dentistry dental implant ,conceptnet.topn3,0.5027,implant dentistry breast implant embed dental appliance ,word2vec.topn3.replace,0.5008,implant dental dentists ,conceptnet.topn3.replace,0.5,breast implant embed dental appliance ,bertqe.topn10.qld,0.4204,"{'Implant Dentistry': 1.5, 'dentistry implant': 1.0, 'hear dentists banter': 0.9968759748307172, 'restorations crowns   p ': 0.09828986535550492, 'patients contemplating dental implants ': 0.0838886246216981, 'root canal ': 0.07829775536212709} ",thesaurus.topn3,0.4189,implant dentistry  embed fix ,wiki.topn3,0.3346,implant dentistry soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,wordnet.topn3,0.3223,implant dentistry engraft imbed embed odontology dental medicine ,wiki.topn3.replace,0.3125,soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.2994,"{'dentistri': 2, 'implant': 2, 'dental': 1.548, 'patient': 1.197, 'rk667i45': 1.197, 'dd': 1.176, 'univers': 1.149, 'phd': 1.101, 'implantolog': 1.096, 'endoss': 1.085, 'edentul': 1.069} ",rm3.topn10.10.0.5.qld,0.2931,dental cell patient polyclin implant fluorid health dentist dentistri burbank ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Rap and Crime ,0.0011,19,conceptnet.topn3,0.0076,rap crime music hip hop ,rm3.topn10.10.0.5.qld,0.0068,crime black music rap rapper mtv white pop album enemi song ,wiki.topn3,0.006,rap crime reggaeton underground hip hop gangsta rap Rapping ,wiki.topn3.replace,0.006,reggaeton underground hip hop gangsta rap Rapping ,word2vec.topn3,0.0057,rap crime hip hop hiphop criminality ,relevancefeedback.topn10.qld,0.0051,rap and crime    gang you mtv enemi ,conceptnet.topn3.replace,0.0048,music hip hop crime ,termluster.topn5.3.qld,0.0036,rap crime music like record ,onfields.topn3.10.2.25.1.qld,0.0033,"{'crime': 2, 'and': 2, 'rap': 2, 'that': 1.636, 'record': 1.355, 'pop': 1.264, 'music': 1.227, 'album': 1.155, 'rapper': 1.136, 'nwa': 1.118, 'rundmc': 1.118, 'knott': 1.1, 'dont': 1.064} ",word2vec.topn3.replace,0.0032,hip hop hiphop criminality ,glove.topn3,0.0018,rap crime hop rappers criminal ,tagmee.topn3.replace,0.0014,Rapping ,docluster.topn10.3.qld,0.0014,rap and crime you ,bertqe.topn10.qld,0.0014,"{'Rap and Crime': 1.5, 'rap major social': 1.0, 'rap produce': 0.9953692489740831, 'threat rap produces': 0.9895981244846852, 'addressed rap': 0.9887019314649022, 'rap one': 0.9879026261448474} ",tagmee.topn3,0.0013,rap crime Rapping ,stem.lovins,0.0013,rap and crim ,stem.paicehusk,0.0013,rap and crim ,stem.trunc4,0.0013,rap and crim ,conceptluster.topn5.3.qld,0.0013,rap crime rapping ,,,,,,
310,Radio Waves and Brain Cancer ,0.1384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
