qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13
1,obama family tree ,0.0,13,wiki.topn3,0.4489,obama family tree stanley armour dunham madelyn dunham barack obama  sr  Family of Barack Obama ,tagmee.topn3,0.3751,obama family tree Family of Barack Obama ,conceptluster.topn5.3.qld.rm3,0.3751,obama family tree family barack obama ,word2vec.topn3,0.3697,obama family tree  bama barack relatives tree  ,conceptnet.topn3,0.3515,obama family tree Barack Hussein Obama home group branch squirrel wood ,anchor.topn3,0.3438,obama family tree barack   obama strichnocera mekubetzet tree stern   s diatomic sequ ssm a   ,anchor.topn3.replace,0.3313,barack   obama strichnocera family mekubetzet tree stern   s diatomic sequ ssm a   ,wiki.topn3.replace,0.3169,stanley armour dunham madelyn dunham barack obama  sr  Family of Barack Obama ,glove.topn3,0.3164,obama family tree barack mccain father pine ,sensedisambiguation.replace,0.2202,obama syndicate tree ,tagmee.topn3.replace,0.1919,Family of Barack Obama ,conceptnet.topn3.replace,0.1776,Barack Hussein Obama home group branch squirrel wood ,word2vec.topn3.replace,0.0121, bama barack relatives tree  
2,french lick resort and casino ,0.221,5,stem.lovins,0.2467,french lick resort and casin ,sensedisambiguation,0.238,french lick salt lick resort and casino ,tagmee.topn3,0.2234,french lick resort casino French Lick  Indiana French Lick Resort Casino Casino ,conceptluster.topn5.3.qld.rm3,0.2234,french lick resort casino french lick indiana casino french lick resort casino ,conceptnet.topn3,0.2217,french lick resort casino a language recourse ,,,,,,,,,,,,,,,,,,,,,,,,
3,getting organized ,0.0752,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,toilet ,0.0959,1,relevancefeedback.topn10.qld.rm3,0.2716,toilet step ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mitchell college ,0.0014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,kcs ,0.0024,1,sensedisambiguation,0.0047,kcs kilohertz ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,air travel information ,0.0309,1,sensedisambiguation.replace,0.0431,air travel travel information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,appraisals ,0.0116,3,relevancefeedback.topn10.qld.rm3,0.0231,appraisals apprais perform busi ,conceptnet.topn3,0.0148,appraisals establish a worth ,docluster.topn10.3.qld.rm3,0.0135,appraisals apprais ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,used car parts ,0.0407,4,docluster.topn10.3.qld.rm3,0.0927,used car parts part ,relevancefeedback.topn10.qld.rm3,0.0828,used car parts part us ,conceptnet.topn3,0.0757,used car parts drive body ,thesaurus.topn3,0.0453,used car parts  recycled worn  auto automobile  any chunk ,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,cheap internet ,0.0154,2,word2vec.topn3.replace,0.1097,inexpensive low cost online intenet ,word2vec.topn3,0.1094,cheap internet inexpensive low cost online intenet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,gmat prep classes ,0.2087,1,word2vec.topn3,0.2152,gmat prep classes courses ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,djs ,0.0461,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,map ,0.0121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,dinosaurs ,0.0396,1,glove.topn3,0.07200000000000001,dinosaurs reptiles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,espn sports ,0.1944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,arizona game and fish ,0.1757,2,tagmee.topn3,0.1922,arizona game fish Arizona Arizona Game and Fish Department Fish ,conceptluster.topn5.3.qld.rm3,0.1922,arizona game fish arizona game fish department arizona fish ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,poker tournaments ,0.0632,1,sensedisambiguation,0.0935,poker tournaments tournament ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,wedding budget calculator ,0.0979,1,relevancefeedback.topn10.qld.rm3,0.0998,wedding budget calculator wed calcul you expens ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,the current ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,defender ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,volvo ,0.2731,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,rick warren ,0.2492,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,yahoo ,0.0077,3,wiki.topn3,0.0299,yahoo alibaba group websites by company companies based in sunnyvale  california Yahoo  ,wiki.topn3.replace,0.027000000000000003,alibaba group websites by company companies based in sunnyvale  california Yahoo  ,sensedisambiguation,0.0145,yahoo yokel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,diversity ,0.0802,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,euclid ,0.2372,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,lower heart rate ,0.0825,1,word2vec.topn3,0.0927,lower heart rate higher upper low soul heart  rate  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,starbucks ,0.0936,1,wiki.topn3,0.133,starbucks retail companies established in      burger king pike place market Starbucks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,inuyasha ,0.1803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
