qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21
INEX_LD-20120111,vietnam war movie,0.3147,7,tagmee.topn3,0.4705,vietnam war movie Vietnam War War film,conceptluster.topn5.3.bm25,0.4705,vietnam war movie vietnam war war film,docluster.topn10.3.bm25,0.3776,vietnam war movie film,sensedisambiguation,0.3623,vietnam vietnam war war movie,termluster.topn5.3.bm25,0.3591,vietnam war movie film movi war film movi vietnam war vietnam star,tagmee.topn3.replace,0.35700000000000004,Vietnam War War film,sensedisambiguation.replace,0.3451,vietnam war war movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120112,vietnam war facts,0.083,5,tagmee.topn3.replace,0.2374,Vietnam War,tagmee.topn3,0.1402,vietnam war facts Vietnam War,conceptluster.topn5.3.bm25,0.1402,vietnam war facts vietnam war,sensedisambiguation.replace,0.1027,vietnam war war fact,stem.trunc4,0.0909,viet war fact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120121,vietnam food recipes,0.0146,6,relevancefeedback.topn10.bm25,0.0929,vietnam food recipes cook kuih cashew bánh chef waffl fish american vietnames,bertqe.topn10.bm25,0.0455,"{'vietnam food recipes': 1.5, 'vietnam custard apple r': 1.0, 'vietnamese noodle soups cuisine vietnamese': 1.0, 'sen vietnamese fruits vietnamese cooking': 1.0, 'fruits vegetables vietnamese recipes': 1.0, 'croquette maacher chop vietnamese cuisine': 0.6}",rm3.topn10.10.0.5.bm25,0.0316,vietnames cook fish food kuih cashew recip waffl cake cuisin pot vietnam,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.03,"{'vietnam': 2, 'food': 2, 'recip': 2, 'dog': 2.0, 'var': 1.724, 'null': 1.448, '64159597': 1.379, 'rodock': 1.241, 'documentwriteopt': 1.207, 'savedsearch': 1.172, 'documentsearchwidgitsortdropdownoptionslength': 1.172, 'savedscop': 1.172}",wiki.topn3,0.0189,vietnam food recipes vietnam laos thailand Vietnam foods cuisine meat Food food related literary genres cookbook crèmbrûlée Recipe,wiki.topn3.replace,0.0169,vietnam laos thailand Vietnam foods cuisine meat Food food related literary genres cookbook crèmbrûlée Recipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120122,vietnamese food blog,0.0707,2,sensedisambiguation.replace,0.0922,vietnamese food web log,relevancefeedback.topn10.bm25,0.0853,vietnamese food blog bánh vietnames battl phan botnet bonsai american vaan canadian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120131,vietnam travel national park,0.0034,7,bertqe.topn10.bm25,0.0187,"{'vietnam travel national park': 1.5, 'haiphong national parks vietnam': 1.0, 'national park nam nh ninh': 0.8750000000000001, 'national park qu ng nam': 0.8750000000000001, 'national park hotel metropole hanoi': 0.8750000000000001, 'parks vietnam hanoi cat': 0.8750000000000001}",termluster.topn5.3.bm25,0.0133,vietnam travel national park nation park long vietnam park long nation vietnam long,tagmee.topn3,0.0103,vietnam travel national park Vietnam Tourism National park,conceptluster.topn5.3.bm25,0.0103,vietnam travel national park national park tourism vietnam,glove.topn3,0.0048,vietnam travel national park laos vietnamese trips   public adjacent,wiki.topn3,0.0044,vietnam travel national park vietnam laos thailand Vietnam leisure service industries tourism Tourism national parks conservation areas naturreserve National park,tagmee.topn3.replace,0.0038,Vietnam Tourism National park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120132,vietnam travel airports,0.1923,3,bertqe.topn10.bm25,0.6767,"{'vietnam travel airports': 1.5, 'vietnam airlines lien khuong airport': 1.0, 'airport singapore changi airport vietnam': 0.5, 'bai international airport phu quoc': 0.5, 'singapore changi airport vietnam airlines': 0.25, 'son nhut airport south vietnam': 0.25}",termluster.topn5.3.bm25,0.3466,vietnam travel airports air airport intern vietnam intern air,sensedisambiguation,0.2395,vietnam vietnam war travel airports airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120211,guitar chord tuning,0.5089,3,bertqe.topn10.bm25,0.5713,"{'guitar chord tuning': 1.5, 'tuning chords c majorpng guitar': 1.0, 'tuning major chord sevenstring guitar': 1.0, 'tuning guitar chord sevenstring guitar': 1.0, 'chord guitar openg tuningogg': 0.8, 'tertian musical tuning guitar chord': 0.2}",sensedisambiguation,0.5308,guitar chord tuning tune,docluster.topn10.3.bm25,0.5308,guitar chord tuning tune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120212,guitar chord minor,0.185,4,termluster.topn5.3.bm25,0.2121,guitar chord minor chord major minor guitar major minor chord guitar major,tagmee.topn3,0.1955,guitar chord minor Guitar chord Minor scale,conceptluster.topn5.3.bm25,0.1955,guitar chord minor minor scale guitar chord,wiki.topn3,0.1916,guitar chord minor guitar chords major chord minor chord Guitar chord glissando major scale legato Minor scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120221,guitar classical flamenco,0.4165,4,tagmee.topn3.replace,0.4229,Guitar Classical guitar Flamenco,tagmee.topn3,0.4188,guitar classical flamenco Guitar Classical guitar Flamenco,conceptluster.topn5.3.bm25,0.4188,guitar classical flamenco classical guitar guitar flamenco,termluster.topn5.3.bm25,0.41700000000000004,guitar classical flamenco classic flamenco guitar flamenco classic guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120222,guitar classical bach,0.2695,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120231,guitar origin Russia,0.0263,11,tagmee.topn3.replace,0.152,Guitar Russia,glove.topn3,0.1474,guitar origin russia bass russian ukraine,conceptnet.topn3,0.1302,guitar origin russia string instrument chord a country,rm3.topn10.10.0.5.bm25,0.1022,guitar bard origin russia metal band russian soviet folk rock group,wiki.topn3.replace,0.0623,spanish musical instruments guitars bass guitar Guitar north asian countries russia member states of the commonwealth of independent states Russia,word2vec.topn3,0.0575,guitar origin russia guitarist orgin origin  ukraine russians putin,relevancefeedback.topn10.bm25,0.0509,guitar origin russia compos music bard metal band russian group messer,conceptluster.topn5.3.bm25,0.0439,guitar origin russia guitar,tagmee.topn3,0.0389,guitar origin russia Guitar Russia,wiki.topn3,0.0346,guitar origin russia spanish musical instruments guitars bass guitar Guitar north asian countries russia member states of the commonwealth of independent states Russia,onfields.topn3.10.1.1.bm25,0.0277,"{'origin': 2, 'russia': 2, 'guitar': 2, 'bard': 2.0, 'russian': 1.409, 'soviet': 1.348, 'metal': 1.27, 'compos': 1.217, 'defect': 1.157, 'pettoletti': 1.13, 'akademgorodok': 1.078, 'releas': 1.078}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
