qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17
3990512,how can we get concentration onsomething,0.1265,9,thesaurus.topn3,0.2217,get concentration onsomething,anchor.topn3,0.2217,get concentration onsomething,wiki.topn3,0.2217,get concentration onsomething,tagmee.topn3,0.2217,get concentration onsomething,thesaurus.topn3.replace,0.2217,get concentration onsomething,anchor.topn3.replace,0.2217,get concentration onsomething,termluster.topn5.3.qld,0.2217,get concentration onsomething,conceptluster.topn5.3.qld,0.2217,get concentration onsomething,bertqe.topn10.qld,0.1719,"{'how can we get concentration onsomething': 1.5, 'one concentrating upon  thus ': 1.0, 'concentrate great deal': 0.45226453084179125, 'trying concentrate': 0.44503158835239054, 'concentrate stead': 0.44308739130360364, 'concentration mind produces': 0.42699955440254284}",,,,,,,,,,,,,,,,,,,,,,,,
714612,Why doesn t the water fall off  earth if it s round,0.0365,10,onfields.topn3.10.2.25.1.qld,0.2455,"{'round?': 2, ""it'"": 2, 'if': 2, 'earth': 2, 'off': 2, 'fall': 2, 'water': 2, 'the': 2, ""doesn't"": 2, 'whi': 2, 'god': 2.0, 'prophet': 2.0, 'id': 1.917, 'carb': 1.833, 'choke': 1.75, 'cabl': 1.583, 'linkag': 1.417, 'plunger': 1.25, 'airbox': 1.167, 'purpos': 1.167, 'apostasi': 1.0}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.1106,"{'round': 2, 'it': 2, 'if': 2, 'off': 2, 'fall': 2, 'water': 2, 'the': 2, 'doesnt': 2, 'whi': 2, 'earth': 2, 'put': 1.6, 'flea': 1.6, 'orbit': 1.467, 'attract': 1.4, 'moon': 1.333, 'repuls': 1.267, 'hous': 1.267, 'rins': 1.267, 'borax': 1.2, 'graviti': 1.0}",tagmee.topn3,0.067,n t water fall earth  s round Earth,conceptluster.topn5.3.qld,0.067,n t water fall earth  s round earth,thesaurus.topn3,0.0574,n t water fall earth  s round,anchor.topn3,0.0574,n t water fall earth  s round,thesaurus.topn3.replace,0.0574,n t water fall earth  s round,anchor.topn3.replace,0.0574,n t water fall earth  s round,termluster.topn5.3.qld,0.0574,n t water fall earth  s round,wordnet.topn3,0.0499,n t water fall earth  s round body of water piss urine surrender crepuscule worldly concern land round off rhythm unit of ammunition,,,,,,,,,,,,,,,,,,,,,
2528767,How do I determine the charge of the iron ion in FeCl,0.2408,2,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.33299999999999996,"{'in': 2, 'ion': 2, 'iron': 2, 'of': 2, 'the': 2, 'determin': 2, 'i': 2, 'do': 2, 'how': 2, 'fecl3': 2, 'charg': 2, 'metal': 2.0, 'fe': 1.778, 'transit': 1.667, 'atom': 1.611, 'salt': 1.556, 'compound': 1.389, 'chlorid': 1.278, 'zn': 1.278, 'gcm3': 1.222}",stem.paicehusk,0.2548,how do i determin the charg of the iron ion in fec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821387,I have mice How do I get rid of them humanely,0.1758,10,thesaurus.topn3,0.2041,mice how get rid humanely,anchor.topn3,0.2041,mice how get rid humanely,wiki.topn3,0.2041,mice how get rid humanely,tagmee.topn3,0.2041,mice how get rid humanely,thesaurus.topn3.replace,0.2041,mice how get rid humanely,anchor.topn3.replace,0.2041,mice how get rid humanely,termluster.topn5.3.qld,0.2041,mice how get rid humanely,conceptluster.topn5.3.qld,0.2041,mice how get rid humanely,conceptnet.topn3,0.1981,mice how get rid humanely receive,conceptnet.topn3.replace,0.1821,mice how receive rid humanely,,,,,,,,,,,,,,,,,,,,,
1880028,What does  see Leaflet  mean on Ept Pregnancy test,0.4191,8,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.4628,"{'on': 2, 'mean': 2, 'leaflet': 2, 'see': 2, 'doe': 2, 'what': 2, 'test': 2, 'pregnanc': 2, 'ept': 2, 'period': 1.6, 'content': 1.6, 'id': 1.6, 'premenstru': 1.2, '41454790': 1.2, '14267160': 1.2, '22665821': 1.2, 'testlol': 1.2}",onfields.topn3.10.2.25.1.qld,0.4476,"{'test?': 2, 'on': 2, 'mean': 2, 'leaflet""': 2, '""see': 2, 'doe': 2, 'what': 2, 'test': 2.0, 'pregnanc': 2, 'ept': 2, 'period': 1.6, 'content': 1.6, 'id': 1.6, 'premenstru': 1.2, '14267160': 1.2, '22665821': 1.2, 'testlol': 1.2, '41454790': 1.2}",thesaurus.topn3,0.4254,   see leaflet    mean ept pregnancy test,anchor.topn3,0.4254,   see leaflet    mean ept pregnancy test,thesaurus.topn3.replace,0.4254,see leaflet mean ept pregnancy test,anchor.topn3.replace,0.4254,   see leaflet    mean ept pregnancy test,termluster.topn5.3.qld,0.4254,   see leaflet    mean ept pregnancy test,stem.krovetz,0.4232,what do see leaflet mean on ept pregnancy test,,,,,,,,,,,,,,,,,,,,,,,,,,,
4448097,what is innate immunity,0.268,6,thesaurus.topn3,0.3097,innate immunity,anchor.topn3,0.3097,innate immunity,thesaurus.topn3.replace,0.3097,innate immunity,anchor.topn3.replace,0.3097,innate immunity,termluster.topn5.3.qld,0.3097,innate immunity,conceptnet.topn3,0.2781,innate immunity inborn immunogenicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287437,how can i lose    pounds by june,0.11,12,tagmee.topn3,0.2124,lose    pounds june  Canadian dollar Pound  mass,conceptluster.topn5.3.qld,0.2124,lose    pounds june  canadian dollar pound mass,conceptnet.topn3,0.1938,lose    pounds june  weight plural of pound,sensedisambiguation,0.1578,how can i lose suffer    thirty pounds syrian pound by june,conceptnet.topn3.replace,0.1484,lose    weight plural of pound june,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.1424,"{'june3': 2, 'by': 2, 'i': 2, 'can': 2, 'how': 2, '30': 2, 'weight': 2.0, 'lose': 2, 'pound': 2, 'gain': 1.5, '10': 1.429, 'calori': 1.357, 'christma': 1.286, 'carb': 1.214, '260': 1.143, 'excercis': 1.143}",onfields.topn3.10.2.25.1.qld,0.1387,"{'june3?': 2, 'by': 2, '30': 2, 'i': 2, 'can': 2, 'how': 2, 'pound': 2, 'lose': 2, 'weight': 2.0, 'go': 1.667, 'gain': 1.583, 'week': 1.333, '10': 1.333, 'calori': 1.208, 'gram': 1.167, 'stat': 1.167, '260': 1.167}",thesaurus.topn3,0.1159,lose    pounds june,anchor.topn3,0.1159,lose    pounds june,thesaurus.topn3.replace,0.1159,lose pounds june,anchor.topn3.replace,0.1159,lose    pounds june,termluster.topn5.3.qld,0.1157,lose    pounds june  pound weight weight lose,,,,,,,,,,,,,,,
2956570,What are the words to write the sound of raindrops  moving train   scribbling w  pencil on paper figuratively,0.423,5,thesaurus.topn3,0.4314,words write sound raindrops moving train   scribbling w  pencil paper figuratively,anchor.topn3,0.4314,words write sound raindrops moving train   scribbling w  pencil paper figuratively,thesaurus.topn3.replace,0.4314,words write sound raindrops moving train scribbling w  pencil paper figuratively,anchor.topn3.replace,0.4314,words write sound raindrops moving train   scribbling w  pencil paper figuratively,termluster.topn5.3.qld,0.4314,words write sound raindrops moving train   scribbling w  pencil paper figuratively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351675,Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton,0.19,5,thesaurus.topn3,0.21100000000000002,must uncracked winshield order car pass safety inspeciton,anchor.topn3,0.21100000000000002,must uncracked winshield order car pass safety inspeciton,thesaurus.topn3.replace,0.21100000000000002,must uncracked winshield order car pass safety inspeciton,anchor.topn3.replace,0.21100000000000002,must uncracked winshield order car pass safety inspeciton,termluster.topn5.3.qld,0.21100000000000002,must uncracked winshield order car pass safety inspeciton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783010,What is Blaphsemy,0.0556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
