qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
201,raspberry pi ,0.0995,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,uss carl vinson ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,reviews of les miserables ,0.012,2,tagmee.topn3,0.0249,reviews les miserables Les Misérables       film  ,conceptluster.topn5.3.qld.rm3,0.0249,reviews les miserables les misérables      film ,,,,,,,,,,,,,,,,,,,,,
204,rules of golf ,0.0464,3,sensedisambiguation,0.0502,rules rule of golf ,relevancefeedback.topn10.qld.rm3,0.0502,rules of golf rule ,docluster.topn10.3.qld.rm3,0.0502,rules of golf rule ,,,,,,,,,,,,,,,,,,
205,average charitable donation ,0.002,1,glove.topn3,0.0046,average charitable donation compared philanthropic charities ,,,,,,,,,,,,,,,,,,,,,,,,
206,wind power ,0.0189,6,glove.topn3,0.0634,wind power blowing control ,thesaurus.topn3,0.0555,wind power  air blast  capability capacity ,conceptnet.topn3,0.05,wind power air blow energy ,wiki.topn3.replace,0.0387,wind turbine wind farm renewablenergy Wind power ,wiki.topn3,0.038,wind power wind turbine wind farm renewablenergy Wind power ,word2vec.topn3,0.0308,wind power breeze power  authority ,,,,,,,,,
207,bph treatment ,0.0441,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,doctor zhivago ,0.051,7,thesaurus.topn3.replace,0.0871, expert physician zhivago ,wordnet.topn3,0.0813,doctor zhivago physician bushel ,thesaurus.topn3,0.0785,doctor zhivago  expert physician  ,glove.topn3,0.07400000000000001,doctor zhivago physician dillamond pawf ,anchor.topn3,0.0658,doctor zhivago doktór causa   delitiæ nikidik mayaval swineheart ,stem.paicehusk,0.0618,doct zhivago ,conceptnet.topn3.replace,0.0593,medical zhivago ,,,,,,
209,land surveyor ,0.011,1,anchor.topn3,0.0256,land surveyor      technohub marinefährprahm surveyors  geologists   rics  ,,,,,,,,,,,,,,,,,,,,,,,,
210,golf gps ,0.0102,2,thesaurus.topn3,0.0164,golf gps  eighteen holes medal play  G P  GP ,word2vec.topn3,0.0159,golf gps golfers garmin ,,,,,,,,,,,,,,,,,,,,,
211,what is madagascar known for ,0.0922,1,conceptnet.topn3,0.1068,madagascar known famous ,,,,,,,,,,,,,,,,,,,,,,,,
212,home theater systems ,0.0005,3,wordnet.topn3,0.0032,home theater systems home base interior household house dramaturgy field of operations scheme arrangement organisation ,conceptnet.topn3,0.0007,home theater systems nest house place stage systems analysis ,termluster.topn5.3.qld.rm3,0.0006,home theater systems audio seat sound audio home seat wireless theater surround ,,,,,,,,,,,,,,,,,,
213,carpal tunnel syndrome ,0.043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,capital gains tax rate ,0.1033,3,relevancefeedback.topn10.qld.rm3,0.1127,capital gains tax rate gain ,tagmee.topn3,0.1035,capital gains tax rate Capital gains tax ,conceptluster.topn5.3.qld.rm3,0.1035,capital gains tax rate capital gains tax ,,,,,,,,,,,,,,,,,,
215,maryland department of natural resources ,0.0217,1,wordnet.topn3,0.0395,maryland department natural resources MD Old Line State section rude raw cancel imagination ,,,,,,,,,,,,,,,,,,,,,,,,
216,nicolas cage movies ,0.0778,1,termluster.topn5.3.qld.rm3,0.081,nicolas cage movies star new movi movi new nicola star nicola new ,,,,,,,,,,,,,,,,,,,,,,,,
217,kids earth day activities ,0.07200000000000001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,solar water fountains ,0.0329,2,termluster.topn5.3.qld.rm3,0.0347,solar water fountains fountain garden power fountain garden power water solar ship ,anchor.topn3,0.0336,solar water fountains ztj moeba  atj  parascombrop dialys softer  ,,,,,,,,,,,,,,,,,,,,,
219,what was the name of elvis presley s home ,0.0014,5,conceptnet.topn3,0.0073,name elvis presley  s home nest house place ,sensedisambiguation,0.0072,what was the name of elvis acid presley  s home home plate ,conceptnet.topn3.replace,0.0069,name elvis presley  s nest house place ,stem.trunc5,0.0061,what was the name of elvis presl   s home ,wiki.topn3,0.0018,name elvis presley  s home cardiovascular disease deaths in tennessee sun records artists las vegas musicians Elvis Presley songs written by alan chang lost  michael bublé song  don t you wanna stay Home  Michael Bublé song  ,,,,,,,,,,,,
220,nba records ,0.0006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,electoral college      results ,0.0799,1,word2vec.topn3,0.0898,electoral college      results electorial political university                findings outcome ,,,,,,,,,,,,,,,,,,,,,,,,
222,male menopause ,0.0872,2,tagmee.topn3,0.0933,male menopause Andropause Menopause ,conceptluster.topn5.3.qld.rm3,0.0933,male menopause menopause andropause ,,,,,,,,,,,,,,,,,,,,,
223,usda food pyramid ,0.1152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,making chicken soup from scratch ,0.0056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,black and gold ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,traverse city ,0.0063,5,tagmee.topn3.replace,0.0177,Traverse City  Michigan ,glove.topn3,0.0176,traverse city town ,tagmee.topn3,0.0131,traverse city Traverse City  Michigan ,conceptluster.topn5.3.qld.rm3,0.0131,traverse city traverse city michigan ,glove.topn3.replace,0.0127,traverse town ,,,,,,,,,,,,
227,i will survive lyrics ,0.0072,2,tagmee.topn3.replace,0.0415,I Will Survive A Will to Survive Lyrics ,tagmee.topn3,0.0149,survive lyrics I Will Survive A Will to Survive Lyrics ,,,,,,,,,,,,,,,,,,,,,
228,hawaiian volcano observatories ,0.0168,7,tagmee.topn3.replace,0.0403,Hawaiian narrative Volcano Observatory ,wiki.topn3,0.0398,hawaiian volcano observatories Hawaiian narrative volcanoes magma volcanirocks Volcano observatories astronomical observatories telescope Observatory ,stem.paicehusk,0.0375,haway volcano observ ,tagmee.topn3,0.0214,hawaiian volcano observatories Hawaiian narrative Volcano Observatory ,conceptluster.topn5.3.qld.rm3,0.0214,hawaiian volcano observatories hawaiian narrative volcano observatory ,wiki.topn3.replace,0.0208,Hawaiian narrative volcanoes magma volcanirocks Volcano observatories astronomical observatories telescope Observatory ,stem.krovetz,0.0183,hawaii volcano observatory ,,,,,,
229,beef stroganoff recipe ,0.0589,3,tagmee.topn3.replace,0.0668,Beef Stroganoff ,tagmee.topn3,0.0666,beef stroganoff recipe Beef Stroganoff ,conceptluster.topn5.3.qld.rm3,0.0666,beef stroganoff recipe beef stroganoff ,,,,,,,,,,,,,,,,,,
230,world s biggest dog ,0.0474,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,what are the seven deadly sins ,0.0575,5,glove.topn3,0.0716,seven deadly sins eight five fatal attacks transgressions misdeeds ,tagmee.topn3.replace,0.0617,The Seven Deadly Sins  ballet chanté  ,thesaurus.topn3,0.061,seven deadly sins  septenary septemviral   crime error ,stem.porter,0.0602,what ar the seven deadli sin ,sensedisambiguation,0.0601,what are the seven deadly madly sins sine ,,,,,,,,,,,,
232,hurricane Irene flooding in manville nj ,0.1197,1,stem.lovins,0.1314,hurrican ir flood in manvil nj ,,,,,,,,,,,,,,,,,,,,,,,,
233,hair dye ,0.0032,4,word2vec.topn3,0.0144,hair dye hairstyle dyed ,anchor.topn3,0.0142,hair dye afro lik frizzli stinging  dye victoria cy            dye  ,thesaurus.topn3,0.0071,hair dye  eyebrow fiber  pigment stain ,wordnet.topn3,0.0053,hair dye whisker haircloth fuzz dyestuff ,,,,,,,,,,,,,,,
234,dark chocolate health benefits ,0.0385,6,sensedisambiguation,0.0698,dark chocolate cocoa health benefits benefit ,anchor.topn3,0.0617,dark chocolate health benefits address spac axeripp cloud  mapogo center midland health northwest ,tagmee.topn3,0.0608,dark chocolate health benefits Types of chocolate Health effects of wine ,conceptluster.topn5.3.qld.rm3,0.0608,dark chocolate health benefits types chocolate health effects wine ,sensedisambiguation.replace,0.0591,dark cocoa health benefit ,word2vec.topn3,0.049,dark chocolate health benefits darker bright cocoa well being wellbeing nutrition advantages detriments ,,,,,,,,,
235,ham radio ,0.0119,2,sensedisambiguation.replace,0.0357,ham radio receiver ,sensedisambiguation,0.0179,ham radio radio receiver ,,,,,,,,,,,,,,,,,,,,,
236,symptoms of mad cow disease in humans ,0.1145,1,sensedisambiguation,0.1207,symptoms symptom of mad huffy cow disease in humans homo ,,,,,,,,,,,,,,,,,,,,,,,,
237,lump in throat ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,george bush sr bio ,0.0356,1,relevancefeedback.topn10.qld.rm3,0.0496,george bush sr bio topic googl      ,,,,,,,,,,,,,,,,,,,,,,,,
239,frank lloyd wright biography ,0.0442,2,relevancefeedback.topn10.qld.rm3,0.0797,frank lloyd wright biography architectur i sullivan fallingwat ,anchor.topn3,0.0458,frank lloyd wright biography       sagoian ulferd cywir muese luftkreuz   wright    j        speedwing   ,,,,,,,,,,,,,,,,,,,,,
240,presidential middle names ,0.0002,5,sensedisambiguation,0.011,presidential middle names name ,word2vec.topn3,0.0007,presidential middle names presidental vice presidential upper mid nicknames ,word2vec.topn3.replace,0.0007,presidental vice presidential upper mid nicknames ,wordnet.topn3,0.0003,presidential middle names center midriff constitute bring up ,wordnet.topn3.replace,0.0003,presidential in between midsection cite appoint mention ,,,,,,,,,,,,
241,what is a wiki ,0.0049,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,cannellini beans ,0.0053,5,word2vec.topn3,0.0081,cannellini beans borlotti haricot garbanzo fava ,wordnet.topn3,0.0078,cannellini beans bean plant noggin bonce ,sensedisambiguation,0.0054,cannellini beans bean ,relevancefeedback.topn10.qld.rm3,0.0054,cannellini beans bean ,docluster.topn10.3.qld.rm3,0.0054,cannellini beans bean ,,,,,,,,,,,,
243,afghanistan flag ,0.0004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,old town scottsdale ,0.0272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,roosevelt island ,0.0029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,civil war battles in South Carolina ,0.0021,2,wiki.topn3.replace,0.0029,guerrilla warfare dictator rebellion Civil war battles siege raid  military  Battle list of colonial governors of south carolina william rhett robert johnson  governor  Province of South Carolina ,wiki.topn3,0.0023,civil war battles south carolina guerrilla warfare dictator rebellion Civil war battles siege raid  military  Battle list of colonial governors of south carolina william rhett robert johnson  governor  Province of South Carolina ,,,,,,,,,,,,,,,,,,,,,
247,rain man ,0.0005,1,wiki.topn3,0.0012,rain man american beauty       film  as good as it gets thwar of throses  film  Rain Man ,,,,,,,,,,,,,,,,,,,,,,,,
248,eggs shelf life ,0.0018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,occupational therapist ,0.0041,4,wiki.topn3.replace,0.0175,activities of daily living systematic review human development  biology  Occupational therapist ,wiki.topn3,0.0131,occupational therapist activities of daily living systematic review human development  biology  Occupational therapist ,docluster.topn10.3.qld.rm3,0.0043,occupational therapist occup ,wordnet.topn3,0.0042,occupational therapist healer ,,,,,,,,,,,,,,,
250,ford edge problems ,0.0007,9,stem.trunc4,0.05,ford edge prob ,stem.trunc5,0.05,ford edge probl ,termluster.topn5.3.qld.rm3,0.0042,ford edge problems edg vehicl vehicl ford ,word2vec.topn3,0.0028,ford edge problems mondeo edge  difficulties issues ,tagmee.topn3,0.0013,ford edge problems Ford Edge ,conceptluster.topn5.3.qld.rm3,0.0013,ford edge problems ford edge ,tagmee.topn3.replace,0.0012,Ford Edge ,sensedisambiguation,0.001,ford edge problems trouble ,sensedisambiguation.replace,0.001,ford edge trouble 
251,identifying spider bites ,0.0129,1,termluster.topn5.3.qld.rm3,0.0139,identifying spider bites bite brown symptom treatment symptom spider ,,,,,,,,,,,,,,,,,,,,,,,,
252,history of orcas island ,0.0612,1,conceptnet.topn3,0.0614,history orcas island past subject school ,,,,,,,,,,,,,,,,,,,,,,,,
253,tooth abscess ,0.0264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
