qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12
201,raspberry pi ,0.0975,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,uss carl vinson ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,reviews of les miserables ,0.0458,2,glove.topn3,0.0649,reviews les miserables deux trois misérables les ,termluster.topn5.3.bm25,0.0462,reviews les miserables miser review ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,rules of golf ,0.0645,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,average charitable donation ,0.0564,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,wind power ,0.0409,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,bph treatment ,0.0486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,doctor zhivago ,0.0421,12,relevancefeedback.topn10.bm25,0.0867,doctor zhivago   movi bui fiction ,wordnet.topn3,0.0789,doctor zhivago physician bushel ,glove.topn3,0.0742,doctor zhivago physician dillamond pawf ,thesaurus.topn3,0.07200000000000001,doctor zhivago  expert physician  ,sensedisambiguation.replace,0.0575,doctor of the church zhivago ,wiki.topn3,0.0565,doctor zhivago films about soviet repression sayonara thmark       film  Doctor Zhivago  film  ,sensedisambiguation,0.0562,doctor doctor of the church zhivago ,wordnet.topn3.replace,0.0542,Doctor of the Church doctor up repair zhivago ,word2vec.topn3,0.0531,doctor zhivago physician surgeon ,word2vec.topn3.replace,0.0519,physician surgeon zhivago ,thesaurus.topn3.replace,0.0505, expert physician zhivago ,wiki.topn3.replace,0.0488,films about soviet repression sayonara thmark       film  Doctor Zhivago  film  
209,land surveyor ,0.0154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,golf gps ,0.0111,2,relevancefeedback.topn10.bm25,0.0136,golf gps gp ,docluster.topn10.3.bm25,0.0136,golf gps gp ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,what is madagascar known for ,0.0748,4,tagmee.topn3,0.1078,madagascar known Madagascar ,conceptluster.topn5.3.bm25,0.1078,madagascar known madagascar ,termluster.topn5.3.bm25,0.106,madagascar known world island ,wiki.topn3,0.0813,madagascar known islands of madagascar madagascar southern africa Madagascar ,,,,,,,,,,,,,,,,,,,,,,,,
212,home theater systems ,0.0004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,carpal tunnel syndrome ,0.0376,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,capital gains tax rate ,0.1472,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,maryland department of natural resources ,0.0969,1,termluster.topn5.3.bm25,0.1186,maryland department natural resources depart natur resourc state resourc natur state resourc maryland state natur maryland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,nicolas cage movies ,0.0839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,kids earth day activities ,0.0973,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,solar water fountains ,0.0402,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,what was the name of elvis presley s home ,0.0009,10,termluster.topn5.3.bm25,0.0045,name elvis presley  s home elvi first preslei preslei name king ,conceptnet.topn3,0.0041,name elvis presley  s home nest house place ,wiki.topn3,0.0037,name elvis presley  s home cardiovascular disease deaths in tennessee sun records artists las vegas musicians Elvis Presley songs written by alan chang lost  michael bublé song  don t you wanna stay Home  Michael Bublé song  ,conceptnet.topn3.replace,0.0032,name elvis presley  s nest house place ,wordnet.topn3,0.0027,name elvis presley  s home constitute bring up loony toons back breaker dose Elvis Presley Elvis Aron Presley home base interior household ,wordnet.topn3.replace,0.0021,cite appoint mention dose acid battery acid Elvis Aron Presley Elvis Presley  s domicile home plate ,glove.topn3,0.0011,name elvis presley  s home known presley impersonators elvis sinatra  s whose where come ,relevancefeedback.topn10.bm25,0.0011,what was the name of elvis presley s home elvi ,docluster.topn10.3.bm25,0.0011,what was the name of elvis presley s home elvi ,thesaurus.topn3,0.001,name elvis presley  s home  brand flag     central familiar ,,,,,,
220,nba records ,0.0011,3,thesaurus.topn3,0.0025,nba records   document evidence ,relevancefeedback.topn10.bm25,0.0012,nba records game   ,docluster.topn10.3.bm25,0.0012,nba records game ,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,electoral college      results ,0.0687,4,relevancefeedback.topn10.bm25,0.0858,electoral college      results elect elector ,docluster.topn10.3.bm25,0.0858,electoral college      results elector elect ,tagmee.topn3,0.069,electoral college      results Electoral College  United States  ,conceptluster.topn5.3.bm25,0.069,electoral college      results electoral college united states ,,,,,,,,,,,,,,,,,,,,,,,,
222,male menopause ,0.1098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,usda food pyramid ,0.113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,making chicken soup from scratch ,0.0481,2,conceptnet.topn3,0.0518,making chicken soup scratch ,conceptnet.topn3.replace,0.0518,making chicken soup scratch ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,black and gold ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,traverse city ,0.024,3,tagmee.topn3,0.0432,traverse city Traverse City  Michigan ,conceptluster.topn5.3.bm25,0.0432,traverse city traverse city michigan ,tagmee.topn3.replace,0.0367,Traverse City  Michigan ,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,i will survive lyrics ,0.0522,2,tagmee.topn3.replace,0.0548,I Will Survive A Will to Survive Lyrics ,tagmee.topn3,0.0524,survive lyrics I Will Survive A Will to Survive Lyrics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,hawaiian volcano observatories ,0.0443,3,relevancefeedback.topn10.bm25,0.0713,hawaiian volcano observatories hvo ,docluster.topn10.3.bm25,0.0713,hawaiian volcano observatories hvo ,termluster.topn5.3.bm25,0.0445,hawaiian volcano observatories observatori volcano activ hawaiian observatori activ volcano hawaiian erupt ,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,beef stroganoff recipe ,0.1181,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,world s biggest dog ,0.0408,4,termluster.topn5.3.bm25,0.0714,world  s biggest dog biggest dog new dog world new biggest world new ,tagmee.topn3,0.047,world  s biggest dog World Dog ,conceptluster.topn5.3.bm25,0.047,world  s biggest dog dog world ,relevancefeedback.topn10.bm25,0.0427,world s biggest dog georg comment annual world breed you show ,,,,,,,,,,,,,,,,,,,,,,,,
231,what are the seven deadly sins ,0.1291,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,hurricane Irene flooding in manville nj ,0.1343,1,stem.lovins,0.1431,hurrican ir flood in manvil nj ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
