qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21,method.22,metric.22,query.22,method.23,metric.23,query.23,method.24,metric.24,query.24,method.25,metric.25,query.25,method.26,metric.26,query.26,method.27,metric.27,query.27,method.28,metric.28,query.28,method.29,metric.29,query.29,method.30,metric.30,query.30,method.31,metric.31,query.31,method.32,metric.32,query.32,method.33,metric.33,query.33
201,raspberry pi ,,25,tagmee.topn3,0.0999,raspberry pi Raspberry Pi ,tagmee.topn3.replace,0.0999,Raspberry Pi ,stem.krovetz,0.0999,raspberry pi ,stem.paicehusk,0.0999,raspberry pi ,stem.porter,0.0999,raspberri pi ,stem.porter2,0.0999,raspberri pi ,stem.sstemmer,0.0999,raspberry pi ,relevancefeedback.topn10.qld,0.0999,raspberry pi ,termluster.topn5.3.qld,0.0999,raspberry pi ,conceptluster.topn5.3.qld,0.0999,raspberry pi raspberry pi ,docluster.topn10.3.qld,0.0797,raspberry pi comput ,wiki.topn3,0.0606,raspberry pi drobe single board computers bbc basic Raspberry Pi ,anchor.topn3,0.0481,raspberry pi piik teremaki junjien ,wiki.topn3.replace,0.0308,drobe single board computers bbc basic Raspberry Pi ,rm3.topn10.10.0.5.qld,0.0119,electron pi os risc car modmypi raspberri wplug launch vm ,thesaurus.topn3,0.005,raspberry pi  catcall hiss  private investigator sleuth ,bertqe.topn10.qld,0.0037,"{'raspberry pi': 1.5, 'raspberry pi  raspberry': 1.0, 'raspberry pi foundation': 1.0, 'raspberry pi finally': 0.75, 'raspberry pi use linuxkernel based': 0.75, 'raspberry pi foundation  raspberry': 0.4999999999999999} ",adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0017,"{'raspberri': 2, 'pi': 2, 'viru': 1.492, 'test': 1.441, 'rubu': 1.331, 'red': 1.234, 'idaeu': 1.205, 'oru': 1.114, 'hybrid': 1.072, 'occidentali': 1.041, 'blackberri': 1.002} ",stem.trunc5,0.0008,raspb pi ,conceptnet.topn3,0.0007,raspberry pi fruit cloudberry approximately                                     approximately                                                     an irrational number ,sensedisambiguation,0.0002,raspberry pi protease inhibitor ,stem.lovins,0.0002,raspber pi ,word2vec.topn3,0.0001,raspberry pi blueberry strawberry π Pi        ,anchor.topn3.replace,0.0001,raspberry piik teremaki junjien ,stem.trunc4,0.0001,rasp pi ,,,,,,,,,,,,,,,,,,,,,,,,
202,uss carl vinson ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,reviews of les miserables ,,25,tagmee.topn3,0.0278,reviews les miserables Les Misérables       film  ,conceptluster.topn5.3.qld,0.0278,reviews les miserables les misérables      film ,glove.topn3,0.0193,reviews les miserables deux trois misérables les ,stem.krovetz,0.0177,review of le miserable ,stem.porter,0.0177,review of le miser ,stem.porter2,0.0177,review of les miser ,stem.sstemmer,0.0177,review of les miserable ,relevancefeedback.topn10.qld,0.0177,reviews of les miserables ,termluster.topn5.3.qld,0.0162,reviews les miserables find ,rm3.topn10.10.0.5.qld,0.0133,jackman cosett shoujo theatr miser review ticket mar le queen london ,conceptnet.topn3,0.006999999999999999,reviews les miserables mab lesbian ,tagmee.topn3.replace,0.0068,Les Misérables       film  ,anchor.topn3,0.0058,reviews les miserables reddicap butlock common pink ,docluster.topn10.3.qld,0.0056,reviews of les miserables ticket le ,thesaurus.topn3,0.0042,reviews les miserables  analysis audit   ,glove.topn3.replace,0.0033,reviews deux trois misérables les ,sensedisambiguation,0.0032,reviews revue of les lupus erythematosus miserables miser ,stem.trunc5,0.0025,revie of les miser ,thesaurus.topn3.replace,0.0013, analysis audit les miserables ,word2vec.topn3,0.0005,reviews les miserables des ces aux misérables affreux maudits ,wiki.topn3,0.0004,reviews les miserables anna karenina       film  my week with marilyn harry potter and thdeathly hallows   part   Les Misérables       film  ,anchor.topn3.replace,0.0003,reviews reddicap butlock common pink miserables ,wordnet.topn3,0.0001,reviews les miserables reexamination follow up revue LE lupus erythematosus ,stem.lovins,0.0001,review of le miserabl ,stem.paicehusk,0.0001,review of les mis ,,,,,,,,,,,,,,,,,,,,,,,,
204,rules of golf ,,28,sensedisambiguation,0.055,rules rule of golf ,docluster.topn10.3.qld,0.055,rules of golf rule ,tagmee.topn3,0.054000000000000006,rules golf Rules of golf ,tagmee.topn3.replace,0.054000000000000006,Rules of golf ,sensedisambiguation.replace,0.054000000000000006,rule of golf ,stem.krovetz,0.054000000000000006,rule of golf ,stem.porter,0.054000000000000006,rule of golf ,stem.porter2,0.054000000000000006,rule of golf ,stem.sstemmer,0.054000000000000006,rule of golf ,stem.trunc4,0.054000000000000006,rule of golf ,stem.trunc5,0.054000000000000006,rules of golf ,relevancefeedback.topn10.qld,0.054000000000000006,rules of golf ,conceptluster.topn5.3.qld,0.054000000000000006,rules golf rules golf ,wiki.topn3,0.0386,rules golf rules of golf      open championship      in scottish sport Rules of golf ,termluster.topn5.3.qld,0.0238,rules golf new golf equip club new rule ,wordnet.topn3,0.0228,rules golf prescript principle regulation golf game ,wiki.topn3.replace,0.0219,rules of golf      open championship      in scottish sport Rules of golf ,word2vec.topn3,0.0218,rules golf regulations laws golfers ,rm3.topn10.10.0.5.qld,0.0203,amateur ball cours rule club championship statu equip golf bdo ,bertqe.topn10.qld,0.0117,"{'rules of golf': 1.5, 'golf  rule 22 ': 1.0, 'rules golf  lifting': 0.8571428571428571, 'rules golf  adjusting': 0.8571428571428571, 'rules golf  rake': 0.5714285714285714, 'rules golf  stake colours ': 0.42857142857142855} ",glove.topn3,0.0098,rules golf regulations laws golfers woods ,conceptnet.topn3,0.0039,rules golf law course a sport an expensive hobby ,anchor.topn3,0.0024,rules golf gorufu and br countri campus  ,thesaurus.topn3,0.0017,rules golf  decree guideline  eighteen holes medal play ,wordnet.topn3.replace,0.0007,convention linguistic rule dominate golf game ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0006,"{'golf': 2, 'of': 2, 'rule': 2, 'msolevelnumberpositionleft': 2.0, 'pga': 1.748, 'textindent0in': 1.699, 'msolevelnumberformatalphalow': 1.319, 'textindent25in': 1.313, 'msolevelnumberformatromanlow': 1.221, '67698715': 1.202, '67698713': 1.184, '67698703': 1.178, 'marginleft25in': 1.147, 'msoleveltabstop5in': 1.141} ",word2vec.topn3.replace,0.0003,regulations laws golfers ,glove.topn3.replace,0.0002,regulations laws golfers woods ,,,,,,,,,,,,,,,
205,average charitable donation ,,22,anchor.topn3,0.0264,average charitable donation ,wiki.topn3,0.0264,average charitable donation ,tagmee.topn3,0.0264,average charitable donation ,anchor.topn3.replace,0.0264,average charitable donation ,stem.krovetz,0.0264,average charitable donation ,stem.porter,0.0264,averag charit donat ,stem.porter2,0.0264,averag charit donat ,stem.sstemmer,0.0264,average charitable donation ,relevancefeedback.topn10.qld,0.0264,average charitable donation ,docluster.topn10.3.qld,0.0264,average charitable donation ,conceptluster.topn5.3.qld,0.0264,average charitable donation ,glove.topn3,0.0247,average charitable donation compared philanthropic charities ,wordnet.topn3,0.0161,average charitable donation median average out mean benevolent kindly contribution ,sensedisambiguation,0.016,average modal charitable donation contribution ,conceptnet.topn3,0.0041,average charitable donation mean middle eleemosynary ,glove.topn3.replace,0.0031,compared philanthropic charities donation ,word2vec.topn3,0.002,average charitable donation averge philanthropic charity charities donor ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0013,"{'donat': 2, 'averag': 2, 'charit': 2, 'transact': 1.488, 'taxpay': 1.395, 'splitdollar': 1.349, 'deduct': 1.198, 'purchas': 1.081, 'lowincom': 1.07, '170f3': 1.058, '2522c2': 1.035, 'chariti': 1.035, 'whale': 1.012} ",thesaurus.topn3,0.0003,average charitable donation  mediocre moderate  accommodating altruistic  aid allowance ,bertqe.topn10.qld,0.0002,"{'average charitable donation': 1.5, ' 1000 charity': 1.0, '526  charitable contributions ': 0.9173241852487135, 'donated  75662 charity last': 0.9042881646655232, ' 185 per donation december ': 0.565008576329331, ' 259 per person  p   h2  donations': 0.44974271012006867} ",word2vec.topn3.replace,0.0001,averge philanthropic charity charities donor ,termluster.topn5.3.qld,0.0001,average charitable donation organ need donat organ need chariti ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,wind power ,,25,wiki.topn3,0.0417,wind power wind turbine wind farm renewablenergy Wind power ,conceptnet.topn3,0.0391,wind power air blow energy ,wiki.topn3.replace,0.039,wind turbine wind farm renewablenergy Wind power ,glove.topn3,0.033,wind power blowing control ,tagmee.topn3,0.0296,wind power Wind power ,tagmee.topn3.replace,0.0296,Wind power ,stem.krovetz,0.0296,wind power ,stem.lovins,0.0296,wind power ,stem.porter,0.0296,wind power ,stem.porter2,0.0296,wind power ,stem.sstemmer,0.0296,wind power ,stem.trunc5,0.0296,wind power ,relevancefeedback.topn10.qld,0.0296,wind power ,conceptluster.topn5.3.qld,0.0296,wind power wind power ,sensedisambiguation,0.017,wind wind instrument power world power ,thesaurus.topn3,0.016,wind power  air blast  capability capacity ,word2vec.topn3,0.0147,wind power breeze power  authority ,anchor.topn3,0.01,wind power adultery     mw spirits  schnitzelplatz schnitzelpl leka   ,termluster.topn5.3.qld,0.006,wind power base becom capac base becom capac ,sensedisambiguation.replace,0.003,wind instrument world power ,rm3.topn10.10.0.5.qld,0.0013,water energi electr wind renew offshor solar turbin china power panel ,word2vec.topn3.replace,0.0004,breeze power  authority ,docluster.topn10.3.qld,0.0004,wind power solar ,conceptnet.topn3.replace,0.0003,air blow energy ,bertqe.topn10.qld,0.0003,"{'wind power': 1.5, 'href  windpowerhtml     nbsp  wind  nbsp  power  a   nobr   br   nobr   target href  windpowergeneratorshtml     nbsp  wind  nbsp  power  nbsp  generators  a   nobr   br   nobr  ': 1.0, 'border  0  align  left   10kw wind power': 0.8500000000000001, 'wind power  hydroelectric power  solar ': 0.725, 'target href  windpowerhtml     nbsp  wind  nbsp  power  a   nobr   br   nobr   target href  windpowergeneratorshtml     nbsp  wind  nbsp  power  nbsp  generators  a   nobr   br ': 0.6750000000000002, 'border  0  align  left   400w wind power': 0.47500000000000014} ",,,,,,,,,,,,,,,,,,,,,,,,
207,bph treatment ,,30,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0671,"{'treatment': 2, 'prostat': 2.0, 'bph': 2, 'urin': 1.834, 'bladder': 1.436, 'urethra': 1.392, 'gland': 1.304, 'caus': 1.304, 'diseas': 1.215, 'transurethr': 1.155, 'clearinghous': 1.094, 'surgeri': 1.011} ",stem.krovetz,0.046,bph treatment ,stem.porter,0.046,bph treatment ,stem.porter2,0.046,bph treatment ,stem.sstemmer,0.046,bph treatment ,relevancefeedback.topn10.qld,0.046,bph treatment ,bertqe.topn10.qld,0.0451,"{'bph treatment': 1.5, 'nonsurgical bph treatment  removes': 1.0, 'officebased treatment bph using': 1.0, 'bph treatment  prostate therapy  enlarged prostate treatments  nonsurgical': 0.75, 'surgical treatment options bph': 0.75, 'bph treatment  prostate therapy  title ': 0.5} ",termluster.topn5.3.qld,0.0391,bph treatment prostat risk symptom bph prostat risk ,tagmee.topn3,0.0371,bph treatment Benign prostatic hyperplasia Therapy ,conceptluster.topn5.3.qld,0.0371,bph treatment therapy benign prostatic hyperplasia ,docluster.topn10.3.qld,0.0331,bph treatment chapter prostat ,wordnet.topn3,0.0293,bph treatment benign prostatic hyperplasia handling discourse discussion ,wiki.topn3,0.0292,bph treatment Benign prostatic hyperplasia diagnosis hyperkinetic disorder symptom Therapy ,sensedisambiguation,0.0256,bph benign prostatic hyperplasia treatment ,conceptnet.topn3,0.0242,bph treatment benign prostatic hyperplasia dealing ,anchor.topn3,0.0238,bph treatment alior zywnosciowej żywnościowej tretman   poseban  treatment ,stem.paicehusk,0.0218,bph tre ,wiki.topn3.replace,0.0175,Benign prostatic hyperplasia diagnosis hyperkinetic disorder symptom Therapy ,sensedisambiguation.replace,0.0155,benign prostatic hyperplasia treatment ,rm3.topn10.10.0.5.qld,0.0153,benign chapter abstract treatment prostat lut bph symptom urinari surgeri ,tagmee.topn3.replace,0.0147,Benign prostatic hyperplasia Therapy ,stem.trunc5,0.01,bph treat ,stem.trunc4,0.0096,bph trea ,conceptnet.topn3.replace,0.0086,benign prostatic hyperplasia dealing ,wordnet.topn3.replace,0.0079,benign prostatic hyperplasia handling discourse ,stem.lovins,0.0069,bph treatm ,thesaurus.topn3,0.0057,bph treatment   analysis cure ,word2vec.topn3,0.0031,bph treatment mile  psid     rpm treament treatement ,thesaurus.topn3.replace,0.0017,bph  analysis cure ,glove.topn3,0.0016,bph treatment http   www statoil com oly      gymnastics treated treat ,,,,,,,,,
208,doctor zhivago ,,27,wordnet.topn3,0.0698,doctor zhivago physician bushel ,glove.topn3,0.0658,doctor zhivago physician dillamond pawf ,thesaurus.topn3,0.0526,doctor zhivago  expert physician  ,thesaurus.topn3.replace,0.0451, expert physician zhivago ,rm3.topn10.10.0.5.qld,0.0433,pasternak channel ago movi clip zhivago bori doctor film runtim ,sensedisambiguation.replace,0.0414,doctor of the church zhivago ,stem.krovetz,0.0376,doctor zhivago ,stem.porter,0.0376,doctor zhivago ,stem.porter2,0.0376,doctor zhivago ,stem.sstemmer,0.0376,doctor zhivago ,relevancefeedback.topn10.qld,0.0376,doctor zhivago ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0352,"{'doctor': 2, 'var': 2.0, 'zhivago': 2, 'documentsearchwidgitsearchtyp': 1.353, 'documentwriteopt': 1.353, 'savedsearch': 1.294, 'savedscop': 1.294, 'documentsearchwidgitsortdropdownoptionslength': 1.294, 'd63758': 1.255, 'newurl': 1.235, 'mgmua': 1.235, 'savedtag': 1.235} ",sensedisambiguation,0.0348,doctor doctor of the church zhivago ,tagmee.topn3,0.0313,doctor zhivago Doctor Zhivago  film  ,conceptluster.topn5.3.qld,0.0313,doctor zhivago doctor zhivago film ,wiki.topn3,0.0279,doctor zhivago films about soviet repression sayonara thmark       film  Doctor Zhivago  film  ,wordnet.topn3.replace,0.0268,Doctor of the Church doctor up repair zhivago ,conceptnet.topn3,0.0259,doctor zhivago medical ,conceptnet.topn3.replace,0.0188,medical zhivago ,anchor.topn3,0.0179,doctor zhivago doktór causa   delitiæ nikidik mayaval swineheart ,tagmee.topn3.replace,0.0178,Doctor Zhivago  film  ,termluster.topn5.3.qld,0.0178,doctor zhivago zhivago film doctor film ,stem.paicehusk,0.0176,doct zhivago ,docluster.topn10.3.qld,0.0148,doctor zhivago movi ,wiki.topn3.replace,0.0075,films about soviet repression sayonara thmark       film  Doctor Zhivago  film  ,word2vec.topn3,0.0053,doctor zhivago physician surgeon ,word2vec.topn3.replace,0.0011,physician surgeon zhivago ,,,,,,,,,,,,,,,,,,
209,land surveyor ,,24,anchor.topn3,0.0256,land surveyor      technohub marinefährprahm surveyors  geologists   rics  ,stem.krovetz,0.0192,land surveyor ,stem.lovins,0.0192,land surveyor ,stem.porter,0.0192,land surveyor ,stem.porter2,0.0192,land surveyor ,stem.sstemmer,0.0192,land surveyor ,relevancefeedback.topn10.qld,0.0192,land surveyor ,docluster.topn10.3.qld,0.006999999999999999,land surveyor gener ,tagmee.topn3,0.0027,land surveyor Surveying ,termluster.topn5.3.qld,0.0027,land surveyor surveyor survei land survei ,conceptluster.topn5.3.qld,0.0027,land surveyor surveying ,sensedisambiguation,0.0021,land state surveyor ,word2vec.topn3,0.0011,land surveyor farmland ,glove.topn3,0.001,land surveyor property surveying ,wordnet.topn3.replace,0.0009,set down bring res publica surveyor ,stem.paicehusk,0.0006,land survey ,wordnet.topn3,0.0005,land surveyor ground demesne realm ,wiki.topn3,0.0005,land surveyor civil engineer topography cartography Surveying ,conceptnet.topn3,0.0005,land surveyor property continent An island ,sensedisambiguation.replace,0.0005,state surveyor ,anchor.topn3.replace,0.0004,     technohub marinefährprahm surveyors  geologists   rics  ,word2vec.topn3.replace,0.0002,farmland surveyor ,rm3.topn10.10.0.5.qld,0.0002,societi surveyor survei architect associ board land pa ok engin ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0002,"{'survey': 2.0, 'land': 2, 'surveyor': 2, 'profession': 1.532, 'code': 1.292, '06302005': 1.222, 'shall': 1.155, 'licens': 1.146, 'respons': 1.045, 'plsa': 1.044, 'subdivis': 1.032} ",,,,,,,,,,,,,,,,,,,,,,,,,,,
210,golf gps ,,21,word2vec.topn3,0.0105,golf gps golfers garmin ,docluster.topn10.3.qld,0.0104,golf gps gp ,thesaurus.topn3,0.0099,golf gps  eighteen holes medal play  G P  GP ,stem.krovetz,0.0097,golf gps ,stem.lovins,0.0097,golf gp ,stem.paicehusk,0.0097,golf gps ,stem.porter,0.0097,golf gp ,stem.porter2,0.0097,golf gps ,stem.sstemmer,0.0097,golf gps ,stem.trunc4,0.0097,golf gps ,stem.trunc5,0.0097,golf gps ,relevancefeedback.topn10.qld,0.0097,golf gps ,termluster.topn5.3.qld,0.0038,golf gps garmin approach cart ,rm3.topn10.10.0.5.qld,0.0024,upro skycaddi gp mount cart garmin golf buddi navig rangefind ,glove.topn3,0.0022,golf gps golfers woods positioning navigation ,wordnet.topn3,0.0021,golf gps golf game Global Positioning System ,anchor.topn3,0.0011,golf gps gorufu and br countri campus  ,word2vec.topn3.replace,0.001,golfers garmin ,bertqe.topn10.qld,0.0008,"{'golf gps': 1.5, 'golf gps  em   b   p   div class  social4i  style  height29px   ': 1.0, 'golf gps  bracketron rwa201bl': 1.0, 'onpar golf gps': 1.0, 'golf gps systems': 1.0, 'golf gps  friend golf gps  bud golf': 0.0} ",thesaurus.topn3.replace,0.0004, eighteen holes medal play  G P  GP ,sensedisambiguation,0.0002,golf gps global positioning system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
