qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
INEX_LD-20120111,vietnam war movie,0.3421,1,docluster.topn10.3.qld,0.506,vietnam war movie film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120112,vietnam war facts,0.1876,4,tagmee.topn3,0.2821,vietnam war facts Vietnam War,conceptluster.topn5.3.qld,0.2821,vietnam war facts vietnam war,tagmee.topn3.replace,0.2461,Vietnam War,sensedisambiguation.replace,0.2051,vietnam war war fact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120121,vietnam food recipes,0.0955,1,sensedisambiguation,0.1005,vietnam vietnam war food recipes recipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120122,vietnamese food blog,0.0727,2,sensedisambiguation.replace,0.1461,vietnamese food web log,relevancefeedback.topn10.qld,0.0852,vietnamese food blog bánh vietnames battl phan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120131,vietnam travel national park,0.0251,7,bertqe.topn10.qld,0.0712,"{'vietnam travel national park': 1.5, 'vietnam national park': 1.0, 'parks vietnam vietnam national': 1.0, 'national park thanh phu nature': 0.7999999999999999, 'park vietnam national park': 0.6, 'national park ngh province': 0.6}",termluster.topn5.3.qld,0.0626,vietnam travel national park nation park vietnam park nation vietnam,tagmee.topn3,0.0479,vietnam travel national park Vietnam Tourism National park,conceptluster.topn5.3.qld,0.0479,vietnam travel national park national park tourism vietnam,sensedisambiguation,0.0353,vietnam vietnam war travel national park parking lot,tagmee.topn3.replace,0.0287,Vietnam Tourism National park,wiki.topn3,0.0271,vietnam travel national park vietnam laos thailand Vietnam leisure service industries tourism Tourism national parks conservation areas naturreserve National park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120132,vietnam travel airports,0.47,1,sensedisambiguation,0.7623,vietnam vietnam war travel airports airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120211,guitar chord tuning,0.5526,3,sensedisambiguation,0.5982,guitar chord tuning tune,docluster.topn10.3.qld,0.5982,guitar chord tuning tune,relevancefeedback.topn10.qld,0.5931,guitar chord tuning tune d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120212,guitar chord minor,0.3203,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120221,guitar classical flamenco,0.41600000000000004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120222,guitar classical bach,0.2953,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
