qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
701,U S  oil industry history ,0.0133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Pearl farming ,0.0672,3,thesaurus.topn3,0.2286,pearl farming  jewel nacre  agriculture breeding ,tagmee.topn3.replace,0.0993,Pearl ,wiki.topn3,0.0847,pearl farming pearls jewellery components gemstone Pearl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,U S  against International Criminal Court ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Green party political views ,0.1604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Iraq foreign debt reduction ,0.2312,6,tagmee.topn3.replace,0.5057,Iraq External debt Debt ,stem.trunc5,0.4266,iraq forei debt reduc ,tagmee.topn3,0.3131,iraq foreign debt reduction Iraq External debt Debt ,wiki.topn3,0.2577,iraq foreign debt reduction iraq mesopotamia syria Iraq internal debt portfolio investment fixed investment External debt credit  finance  collateral  finance  interest Debt ,stem.lovins,0.2433,iraq foreign debt reduc ,stem.paicehusk,0.2433,iraq foreign debt reduc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Controlling type II diabetes ,0.0824,2,sensedisambiguation.replace,0.1215,see type two diabetes ,sensedisambiguation,0.1079,Controlling see type II two diabetes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Aspirin cancer prevention ,0.4113,3,tagmee.topn3.replace,0.4329,Aspirin Cancer Cancer prevention ,conceptluster.topn5.3.bm25.rm3,0.4312,aspirin cancer prevention cancer cancer prevention ,tagmee.topn3,0.4274,aspirin cancer prevention Aspirin Cancer Cancer prevention ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Decorative slate sources ,0.2228,2,sensedisambiguation,0.3822,Decorative cosmetic slate sources source ,word2vec.topn3,0.2702,decorative slate sources ornamental limestone souces references ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Horse racing jockey weight ,0.7715,4,sensedisambiguation,0.7979999999999999,Horse sawhorse racing rush jockey weight weight unit ,sensedisambiguation.replace,0.7964,sawhorse rush jockey weight unit ,stem.porter,0.7906,hors race jockei weight ,stem.porter2,0.7906,hors race jockey weight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Prostate cancer treatments ,0.5683,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Train station security measures ,0.1604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Pyramid scheme ,0.5596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Chesapeake Bay Maryland clean ,0.3264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,License restrictions older drivers ,0.1448,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
