qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16
1,obama family tree ,0.0674,11,wiki.topn3,0.4386,obama family tree stanley armour dunham madelyn dunham barack obama  sr  Family of Barack Obama ,anchor.topn3,0.3977,obama family tree barack   obama strichnocera mekubetzet tree stern   s diatomic sequ ssm a   ,tagmee.topn3,0.3976,obama family tree Family of Barack Obama ,conceptluster.topn5.3.qld,0.3976,obama family tree family barack obama ,conceptnet.topn3,0.3741,obama family tree Barack Hussein Obama home group branch squirrel wood ,wiki.topn3.replace,0.321,stanley armour dunham madelyn dunham barack obama  sr  Family of Barack Obama ,anchor.topn3.replace,0.3121,barack   obama strichnocera family mekubetzet tree stern   s diatomic sequ ssm a   ,word2vec.topn3,0.3047,obama family tree  bama barack relatives tree  ,glove.topn3,0.266,obama family tree barack mccain father pine ,tagmee.topn3.replace,0.2638,Family of Barack Obama ,conceptnet.topn3.replace,0.1539,Barack Hussein Obama home group branch squirrel wood ,,,,,,,,,,,,,,,
2,french lick resort and casino ,0.2019,5,rm3.topn10.10.0.5.qld,0.223,room french indiana baden hotel spring credit resort lick casino ,sensedisambiguation,0.2099,french lick salt lick resort and casino ,tagmee.topn3,0.2074,french lick resort casino French Lick  Indiana French Lick Resort Casino Casino ,conceptluster.topn5.3.qld,0.2074,french lick resort casino french lick indiana casino french lick resort casino ,tagmee.topn3.replace,0.2046,French Lick  Indiana French Lick Resort Casino Casino ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,getting organized ,0.1006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,toilet ,0.0594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mitchell college ,0.0027,1,docluster.topn10.3.qld,0.006,mitchell college mitchel colleg biologi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,kcs ,0.0024,1,bertqe.topn10.qld,0.0032,"{'kcs': 1.5, 'kc inks  br  kc jazz': 1.0, ' br  kc daylights  br  kc': 1.0, 'kc mo  br  kc': 0.5714285714285714, 'kc sunshines  br ': 0.5714285714285714, 'kc us air force tanker': 0.2857142857142859} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,air travel information ,0.1116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,appraisals ,0.0123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,used car parts ,0.0821,1,relevancefeedback.topn10.qld,0.0948,used car parts part us auto ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,cheap internet ,0.0287,3,word2vec.topn3,0.0809,cheap internet inexpensive low cost online intenet ,word2vec.topn3.replace,0.0767,inexpensive low cost online intenet ,onfields.topn3.10.1.0.qld,0.0401,"{'internet': 2, 'cheap': 2, 'host': 1.186, 'fast': 1.157, 'dial': 1.133, 'server': 1.094, 'speed': 1.076, 'dsl': 1.033, 'mcallen': 1.022, 'internetcheap': 1.012, 'servercheap': 1.008} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,gmat prep classes ,0.2125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,djs ,0.0411,1,bertqe.topn10.qld,0.0412,"{'djs': 1.5, 'dj johnathan peters dj dieselboy': 1, 'dj sledge hammer sunrise dj': 1, 'djs  tx  a   font   td   td   font size  1    hreflocalbusinessesdjsconvoyohios50html   convoy djs ': 1, 'djs  mi  a   font   td   tr   tr   td width50     font size  1    hreflocalbusinessesdjswest  20bloomfield  20hillsmichigans50html   west': 1, 'djs  mi  a   font   td   tr   tr   td width50     font size  1    hreflocalbusinessesdjscentallouisianas50html   cental': 1} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,map ,0.0537,1,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.0542,{'map': 2} ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,dinosaurs ,0.0455,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,espn sports ,0.2217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,arizona game and fish ,0.1585,3,tagmee.topn3,0.1693,arizona game fish Arizona Arizona Game and Fish Department Fish ,conceptluster.topn5.3.qld,0.1693,arizona game fish arizona game fish department arizona fish ,tagmee.topn3.replace,0.1623,Arizona Arizona Game and Fish Department Fish ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,poker tournaments ,0.0712,1,sensedisambiguation,0.0907,poker tournaments tournament ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,wedding budget calculator ,0.101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,the current ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,defender ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,volvo ,0.2773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,rick warren ,0.3108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,yahoo ,0.0048,2,wiki.topn3,0.0246,yahoo alibaba group websites by company companies based in sunnyvale  california Yahoo  ,wiki.topn3.replace,0.0182,alibaba group websites by company companies based in sunnyvale  california Yahoo  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,diversity ,0.0808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,euclid ,0.1694,1,bertqe.topn10.qld,0.2171,"{'euclid': 1.5, 'one euclid s accomplishments': 1.0, 'euclid meant ': 1.0, ' b  euclid  b  ancient greek': 0.5833333333333336, 'euclid active': 0.41666666666666674, 'euclid  i   boston  mass  1980    li': 0.41666666666666674} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,lower heart rate ,0.1014,2,tagmee.topn3,0.1029,lower heart rate Mandible Heart rate ,conceptluster.topn5.3.qld,0.1029,lower heart rate mandible heart rate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,starbucks ,0.1012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,inuyasha ,0.1619,1,bertqe.topn10.qld,0.162,"{'inuyasha': 1.5, 'inuyasha episode 16  mystical': 1.0, 'inuyasha episode 60 ': 0.888888888888889, 'inuyasha episode 61 inuyasha': 0.7777777777777778, 'inuyasha episode 164   p   p ': 0.5555555555555556, 'inuyasha episode 61  inuyasha': 0.5555555555555556} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ps   games ,0.013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,diabetes education ,0.1146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,atari ,0.2842,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,website design hosting ,0.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,elliptical trainer ,0.2794,5,sensedisambiguation,0.294,elliptical elliptic trainer ,relevancefeedback.topn10.qld,0.294,elliptical trainer ellipt ,docluster.topn10.3.qld,0.294,elliptical trainer ellipt ,tagmee.topn3,0.2795,elliptical trainer Elliptical trainer ,conceptluster.topn5.3.qld,0.2795,elliptical trainer elliptical trainer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,cell phones ,0.0195,5,glove.topn3,0.0582,cell phones cellular telephones cellphones ,word2vec.topn3,0.0324,cell phones cellular telephones handsets ,wordnet.topn3,0.0212,cell phones electric cell cellular phone telephone set earphone ,relevancefeedback.topn10.qld,0.0204,cell phones phone ,docluster.topn10.3.qld,0.0204,cell phones phone ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,hoboken ,0.3383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,gps ,0.0461,1,glove.topn3,0.0739,gps positioning navigation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,pampered chef ,0.0349,3,rm3.topn10.10.0.5.qld,0.05,pamper cook earn recip kitchen consult magic chef item ebai ,relevancefeedback.topn10.qld,0.0388,pampered chef pamper cook ,sensedisambiguation,0.0356,pampered pamper chef ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dogs for adoption ,0.0512,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,disneyland hotel ,0.0618,6,docluster.topn10.3.qld,0.1101,disneyland hotel anaheim ,tagmee.topn3,0.0858,disneyland hotel Disneyland Hotel  California  ,conceptluster.topn5.3.qld,0.0858,disneyland hotel disneyland hotel california ,bertqe.topn10.qld,0.0849,"{'disneyland hotel': 1.5, 'anaheim disneyland hotel': 1.0, 'grand california hotel disneyland': 0.5714285714285715, 'disneyland hotel disneyland resort paris': 0.4285714285714285, 'disneyland hotel anaheim  one': 0.4285714285714285, 'disneyland  br  disneyland grand hotel': 0.28571428571428575} ",rm3.topn10.10.0.5.qld,0.0653,park hotel disneyland anaheim ca resort pari near california franc ,tagmee.topn3.replace,0.0639,Disneyland Hotel  California  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,michworks ,0.0397,3,docluster.topn10.3.qld,0.0638,michworks counti ,rm3.topn10.10.0.5.qld,0.0494,aol depart calhoun michigan mountain mi counti michwork bike trail employ ,relevancefeedback.topn10.qld,0.0407,michworks michigan bike search counti work ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,orange county convention center ,0.0596,2,termluster.topn5.3.qld,0.1218,orange county convention center orlando group counti orlando orang group show plan new convent intern compani ,onfields.topn3.10.1.0.qld,0.0613,"{'center': 2, 'convent': 2, 'counti': 2, 'orang': 2, 'florida': 1.052, 'orlando': 1.046, 'orangeburg': 1.043, 'chopper': 1.029, 'juic': 1.026, 'peel': 1.017, 'orangevil': 1.017, 'orangeval': 1.011} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
