qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
701,U S  oil industry history ,0.0231,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Pearl farming ,0.0605,7,thesaurus.topn3,0.1972,pearl farming  jewel nacre  agriculture breeding ,thesaurus.topn3.replace,0.1192,jewel nacre  agriculture breeding ,wiki.topn3,0.0905,pearl farming pearls jewellery components gemstone Pearl ,tagmee.topn3,0.0883,pearl farming Pearl ,word2vec.topn3,0.0864,pearl farming necklace agriculture agricultural ,wiki.topn3.replace,0.0774,pearls jewellery components gemstone Pearl ,tagmee.topn3.replace,0.0768,Pearl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,U S  against International Criminal Court ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Green party political views ,0.1198,1,anchor.topn3,0.2537,green party political views green windi treekrem k cup ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Iraq foreign debt reduction ,0.2979,2,tagmee.topn3.replace,0.526,Iraq External debt Debt ,tagmee.topn3,0.4665,iraq foreign debt reduction Iraq External debt Debt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Controlling type II diabetes ,0.1102,3,sensedisambiguation.replace,0.2018,see type two diabetes ,sensedisambiguation,0.1183,Controlling see type II two diabetes ,stem.paicehusk,0.1139,control type iy diabet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Aspirin cancer prevention ,0.4948,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Decorative slate sources ,0.2602,2,conceptnet.topn3,0.3117,decorative slate sources nonfunctional ,word2vec.topn3,0.2793,decorative slate sources ornamental limestone souces references ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Horse racing jockey weight ,0.6953,3,wordnet.topn3,0.7091,horse racing jockey weight Equus caballus cavalry hie speed cannonball along screw cheat system of weights weight down exercising weight ,conceptluster.topn5.3.qld.rm3,0.7069,horse racing jockey weight jockey ,sensedisambiguation,0.6996,Horse sawhorse racing rush jockey weight weight unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Prostate cancer treatments ,0.4838,1,sensedisambiguation,0.5168,Prostate prostate gland cancer treatments treatment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
