qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
301,International Organized Crime ,0.0308,8,anchor.topn3,0.1601,international organized crime  confédérat föderat kanusport anti corruption  anti econom drug ,anchor.topn3.replace,0.1014,confédérat föderat kanusport organized anti corruption  anti econom drug ,wiki.topn3,0.0515,international organized crime constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,stem.trunc5,0.0482,inter organ crime ,wiki.topn3.replace,0.047,constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,word2vec.topn3,0.0453,international organized crime national global domestic organised criminality ,glove.topn3,0.0384,international organized crime global which organised criminal ,conceptnet.topn3,0.0369,international organized crime supranational ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Poliomyelitis and Post Polio ,0.5935,2,wordnet.topn3,0.609,poliomyelitis post polio acute anterior poliomyelitis polio ,anchor.topn3,0.595,poliomyelitis post polio kentuckyon rwjbarnaba lcmc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements ,0.1579,9,wiki.topn3.replace,0.2087,great observatories program hubble space telescope standard candles Hubble Space Telescope ,docluster.topn10.3.qld.rm3,0.1998,hubble telescope achievements telescop have ,thesaurus.topn3,0.1972,hubble telescope achievements   abbreviate constrict  accomplishment attainment ,sensedisambiguation.replace,0.1896,hubble telescope accomplishment ,word2vec.topn3,0.1734,hubble telescope achievements kepler milkyway moon  observatory accomplishments successes ,conceptnet.topn3,0.1629,hubble telescope achievements Edwin Powell Hubble lump ,relevancefeedback.topn10.qld.rm3,0.1614,hubble telescope achievements telescop have hubbl said univers ,tagmee.topn3,0.1601,hubble telescope achievements Hubble Space Telescope ,conceptluster.topn5.3.qld.rm3,0.1601,hubble telescope achievements hubble space telescope ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Endangered Species  Mammals ,0.0909,4,conceptluster.topn5.3.qld.rm3,0.1087,endangered species mammals endangered species ,stem.lovins,0.105,endanger speci   mam ,stem.paicehusk,0.105,endang specy   mam ,thesaurus.topn3,0.1031,endangered species mammals  threatened at risk  breed category  beast creature ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Most Dangerous Vehicles ,0.0046,6,conceptluster.topn5.3.qld.rm3,0.0298,dangerous vehicles risk ,wordnet.topn3,0.0124,dangerous vehicles unsafe grievous severe fomite ,tagmee.topn3.replace,0.0102,Risk Vehicle ,word2vec.topn3,0.0071,dangerous vehicles hazardous risky perilous cars trucks ,wiki.topn3,0.0066,dangerous vehicles risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,wiki.topn3.replace,0.0051,risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,African Civilian Deaths ,0.1308,1,sensedisambiguation,0.1533,African Civilian Deaths end ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,New Hydroelectric Projects ,0.3249,2,tagmee.topn3,0.34600000000000003,new hydroelectric projects Hydroelectricity Project ,tagmee.topn3.replace,0.3405,Hydroelectricity Project ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Implant Dentistry ,0.309,8,conceptluster.topn5.3.qld.rm3,0.5036,implant dentistry dental implant ,wiki.topn3.replace,0.5025,soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,wordnet.topn3,0.4186,implant dentistry engraft imbed embed odontology dental medicine ,thesaurus.topn3,0.3783,implant dentistry  embed fix ,wiki.topn3,0.3782,implant dentistry soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,sensedisambiguation,0.3782,Implant plant Dentistry ,word2vec.topn3.replace,0.3341,implant dental dentists ,anchor.topn3,0.3158,implant dentistry defibrillatorto    ketodesogestrel  carviovert ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Rap and Crime ,0.0026,8,word2vec.topn3,0.0081,rap crime hip hop hiphop criminality ,conceptnet.topn3,0.0076,rap crime music hip hop ,conceptnet.topn3.replace,0.0068,music hip hop crime ,wiki.topn3,0.0061,rap crime reggaeton underground hip hop gangsta rap Rapping ,wiki.topn3.replace,0.0061,reggaeton underground hip hop gangsta rap Rapping ,word2vec.topn3.replace,0.0055,hip hop hiphop criminality ,relevancefeedback.topn10.qld.rm3,0.0053,rap and crime mtv he ic video ,anchor.topn3,0.0028,rap crime country br album r a p r a l p anti corruption  anti econom drug ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Radio Waves and Brain Cancer ,0.1306,2,stem.lovins,0.1521,radi wav and brain cancer ,termluster.topn5.3.qld.rm3,0.1463,radio waves brain cancer cancer brain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
