qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12
1,obama family tree ,0.348,7,tagmee.topn3,0.4693,obama family tree Family of Barack Obama ,conceptluster.topn5.3.bm25,0.4693,obama family tree family barack obama ,termluster.topn5.3.bm25,0.4228,obama family tree barack famili tree tree post polit barack famili obama ,tagmee.topn3.replace,0.3842,Family of Barack Obama ,anchor.topn3,0.3767,obama family tree barack   obama strichnocera mekubetzet tree stern   s diatomic sequ ssm a   ,onfields.topn3.10.1.0.bm25,0.3667,"{'famili': 2, 'tree': 2, 'obama': 2, 'barack': 1.79, 'trivia': 1.677, '345': 1.161, 'suntim': 1.153, 'var': 1.145, 'hussein': 1.121, '000700': 1.04, 'sitelifeen': 1.04} ",conceptnet.topn3,0.3488,obama family tree Barack Hussein Obama home group branch squirrel wood ,,,,,,,,,,,,,,,
2,french lick resort and casino ,0.2565,3,tagmee.topn3,0.2687,french lick resort casino French Lick  Indiana French Lick Resort Casino Casino ,conceptluster.topn5.3.bm25,0.2687,french lick resort casino french lick indiana casino french lick resort casino ,tagmee.topn3.replace,0.266,French Lick  Indiana French Lick Resort Casino Casino ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,getting organized ,0.1262,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,toilet ,0.0588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mitchell college ,0.0075,1,docluster.topn10.3.bm25,0.0087,mitchell college mitchel busi student ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,kcs ,0.0024,1,bertqe.topn10.bm25,0.0249,"{'kcs': 1.5, 'kc inks  br  kc jazz': 1.0, ' br  kc daylights  br  kc': 1.0, 'kc mo  br  kc': 0.5714285714285714, 'kc sunshines  br ': 0.5714285714285714, 'kc us air force tanker': 0.2857142857142859} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,air travel information ,0.1176,2,sensedisambiguation,0.1594,air air travel travel information ,sensedisambiguation.replace,0.1499,air travel travel information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,appraisals ,0.0117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,used car parts ,0.0899,2,relevancefeedback.topn10.bm25,0.1091,used car parts part ,docluster.topn10.3.bm25,0.1091,used car parts part ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,cheap internet ,0.0127,3,word2vec.topn3,0.0799,cheap internet inexpensive low cost online intenet ,word2vec.topn3.replace,0.0644,inexpensive low cost online intenet ,onfields.topn3.10.1.0.bm25,0.0401,"{'internet': 2, 'cheap': 2, 'host': 1.186, 'fast': 1.157, 'dial': 1.133, 'server': 1.094, 'speed': 1.076, 'dsl': 1.033, 'mcallen': 1.022, 'internetcheap': 1.012, 'servercheap': 1.008} ",,,,,,,,,,,,,,,,,,,,,,,,,,,
