qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
201,raspberry pi ,0.0921,1,termluster.topn5.3.bm25.rm3,0.094,raspberry pi new ,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,uss carl vinson ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,reviews of les miserables ,0.0207,3,glove.topn3,0.0572,reviews les miserables deux trois misérables les ,tagmee.topn3,0.0417,reviews les miserables Les Misérables       film  ,conceptluster.topn5.3.bm25.rm3,0.0417,reviews les miserables les misérables      film ,,,,,,,,,,,,,,,,,,,,,
204,rules of golf ,0.0284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,average charitable donation ,0.1115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,wind power ,0.016,2,glove.topn3,0.0253,wind power blowing control ,wiki.topn3,0.0209,wind power wind turbine wind farm renewablenergy Wind power ,,,,,,,,,,,,,,,,,,,,,,,,
207,bph treatment ,0.0455,1,stem.paicehusk,0.0464,bph tre ,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,doctor zhivago ,0.0505,9,glove.topn3,0.1246,doctor zhivago physician dillamond pawf ,thesaurus.topn3,0.1229,doctor zhivago  expert physician  ,word2vec.topn3.replace,0.1165,physician surgeon zhivago ,wordnet.topn3,0.1115,doctor zhivago physician bushel ,wiki.topn3.replace,0.0901,films about soviet repression sayonara thmark       film  Doctor Zhivago  film  ,relevancefeedback.topn10.bm25.rm3,0.08900000000000001,doctor zhivago movi   bui i fiction ,conceptnet.topn3.replace,0.0821,medical zhivago ,word2vec.topn3,0.0665,doctor zhivago physician surgeon ,wiki.topn3,0.0624,doctor zhivago films about soviet repression sayonara thmark       film  Doctor Zhivago  film  ,,,
209,land surveyor ,0.0045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,golf gps ,0.0059,4,wordnet.topn3,0.0069,golf gps golf game Global Positioning System ,word2vec.topn3,0.0062,golf gps golfers garmin ,relevancefeedback.topn10.bm25.rm3,0.0062,golf gps gp ,docluster.topn10.3.bm25.rm3,0.0062,golf gps gp ,,,,,,,,,,,,,,,,,,
211,what is madagascar known for ,0.0728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,home theater systems ,0.0001,1,conceptnet.topn3,0.0003,home theater systems nest house place stage systems analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,carpal tunnel syndrome ,0.0348,2,stem.lovins,0.0432,carp tunnel syndrom ,stem.paicehusk,0.0432,carp tunnel syndrom ,,,,,,,,,,,,,,,,,,,,,,,,
214,capital gains tax rate ,0.0717,4,tagmee.topn3,0.1097,capital gains tax rate Capital gains tax ,conceptluster.topn5.3.bm25.rm3,0.1097,capital gains tax rate capital gains tax ,tagmee.topn3.replace,0.109,Capital gains tax ,docluster.topn10.3.bm25.rm3,0.0773,capital gains tax rate you ,,,,,,,,,,,,,,,,,,
215,maryland department of natural resources ,0.1007,1,sensedisambiguation,0.1086,maryland department of natural resources resource ,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,nicolas cage movies ,0.0764,1,sensedisambiguation,0.0768,nicolas cage movies movie ,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,kids earth day activities ,0.011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,solar water fountains ,0.0345,3,tagmee.topn3,0.0436,solar water fountains Solar power Fountain ,conceptluster.topn5.3.bm25.rm3,0.0436,solar water fountains fountain solar power ,tagmee.topn3.replace,0.0386,Solar power Fountain ,,,,,,,,,,,,,,,,,,,,,
219,what was the name of elvis presley s home ,0.0019,6,wiki.topn3,0.0067,name elvis presley  s home cardiovascular disease deaths in tennessee sun records artists las vegas musicians Elvis Presley songs written by alan chang lost  michael bublé song  don t you wanna stay Home  Michael Bublé song  ,conceptnet.topn3.replace,0.0056,name elvis presley  s nest house place ,conceptnet.topn3,0.0037,name elvis presley  s home nest house place ,stem.trunc5,0.0037,what was the name of elvis presl   s home ,relevancefeedback.topn10.bm25.rm3,0.002,what was the name of elvis presley s home elvi ,docluster.topn10.3.bm25.rm3,0.002,what was the name of elvis presley s home elvi ,,,,,,,,,,,,
